,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
John Hamilton,John,Hamilton,NC,no,68.0,1,16.0,1,34.0,1,8.0,1,77.0,1,68.0,1
Alexander Hamilton,Alexander,Hamilton,Constitution,yes,19104.0,18,900.0,18,9552.0,18,444.0,18,8244.0,18,657.0,18
Alexander Hamilton,Alexander,Hamilton,NY,yes,19104.0,18,900.0,18,9552.0,18,444.0,18,8244.0,18,657.0,18
John Hamilton,John,Hamilton,MA,no,68.0,1,16.0,1,34.0,1,8.0,1,77.0,1,68.0,1
John Hancock,John,Hancock,MA,yes,5160.0,2,78.0,2,2579.0,2,141.0,2,4933.0,2,113.0,2
Benjamin Harrison,Benjamin,Harrison,MD,no,12174.0,18,774.0,18,6078.0,18,1296.0,18,5463.0,18,1251.0,18
Benjamin Harrison V,Benjamin,Harrison V,VA,no,12174.0,18,774.0,18,6078.0,18,1296.0,18,5463.0,18,1251.0,18
William Hart,William,Hart,CT,yes,33100.0,8,456.0,8,16548.0,8,628.0,8,26589.0,9,552.0,8
William Harwood,William,Harwood,MD,did not vote,118.0,1,70.0,1,59.0,1,35.0,1,0.0,0,0.0,0
Samuel Hay,Samuel,Hay,NJ,yes,48.0,1,33.0,1,24.0,1,17.0,1,0.0,0,0.0,0
William Hayes,William,Hayes,NC,yes,19233.0,9,414.0,9,9615.0,9,360.0,9,0.0,0,0.0,0
Joseph Heister,Joseph,Heister,PA,no,77005.0,25,1525.0,25,38500.0,25,780.0,25,0.0,0,0.0,0
James Gordon Heron,James Gordon,Heron,MD,yes,2203.0,2,91.0,2,1159.0,3,179.0,3,63.0,1,52.0,1
Benjamin Hicks,Benjamin,Hicks,SC,yes,0.0,0,0.0,0,0.0,0,0.0,0,344.0,2,53.0,2
William Hill,William,Hill,SC,no,108.0,1,38.0,1,54.0,1,19.0,1,96.0,1,0.0,0
William N. Hill,William N.,Hill,NC,yes,108.0,1,38.0,1,54.0,1,19.0,1,96.0,1,0.0,0
Henry Hill,Henry,Hill,NC,no,51165.0,9,264.0,6,25581.0,9,282.0,6,0.0,0,0.0,0
Henry Hill,Henry,Hill,NC,yes,51165.0,9,264.0,6,25581.0,9,282.0,6,0.0,0,0.0,0
Benjamin Hinma,Benjamin,Hinma,CT,yes,350.0,1,25.0,1,175.0,1,12.0,1,384.0,1,0.0,0
"Samuel Hopkins, Jun.",Samuel,"Hopkins, Jun.",VA,no,2960.0,2,0.0,0,1480.0,2,0.0,0,1182.0,2,70.0,2
George Houser,George,Houser,NC,yes,181.0,1,90.0,1,90.0,1,95.0,1,122.0,1,17.0,1
John Huger,John,Huger,SC,yes,16698.0,12,198.0,6,8346.0,12,402.0,6,9380.0,12,564.0,12
John Hunt,John,Hunt,NC,yes,2018.0,4,306.0,4,1008.0,4,252.0,4,143.0,1,66.0,1
James G. Hunt,James G.,Hunt,SC,no,0.0,0,0.0,0,0.0,0,0.0,0,566.0,1,81.0,1
John Hunter,John,Hunter,SC,yes,834.0,1,18.0,1,417.0,1,8.0,1,895.0,1,10.0,1
Jedediah Huntington,Jedediah,Huntington,CT,yes,2.0,1,62.0,1,1.0,1,32.0,1,2.0,1,58.0,1
Richard Hutson,Richard,Hutson,SC,yes,76.0,1,91.0,1,38.0,1,46.0,1,0.0,0,0.0,0
John Ingram,John,Ingram,DE,yes,81.0,1,80.0,1,40.0,1,89.0,1,0.0,0,0.0,0
John Ingram,John,Ingram,NC,yes,81.0,1,80.0,1,40.0,1,89.0,1,0.0,0,0.0,0
Manchester Isaac,Manchester,Isaac,RI,yes,98.0,4,202.0,4,48.0,4,198.0,4,180.0,4,272.0,4
Ralph Izard,Ralph,Izard,SC,yes,879.0,1,96.0,1,439.0,1,98.0,1,1386.0,1,62.0,1
Bowen Jabez,Bowen,Jabez,RI,yes,322740.0,180,10620.0,180,161340.0,180,8190.0,180,109584.0,180,7956.0,144
George Jackson,George,Jackson,VA,yes,7.0,1,90.0,1,3.0,1,95.0,1,0.0,0,0.0,0
David Jameson,David,Jameson,NC,yes,1156.0,8,588.0,8,576.0,8,500.0,8,716.0,8,96.0,8
John Jay,John,Jay,NY,yes,5831.0,1,67.0,1,2915.0,1,83.0,1,4931.0,1,84.0,1
Williams John,Williams,John,RI,no,17708.0,49,2117.0,49,6446.0,49,876.0,49,10425.0,51,2391.0,39
Davis John,Davis,John,RI,yes,174.0,2,132.0,2,86.0,2,167.0,2,14.0,1,2.0,1
Brown John,Brown,John,RI,yes,36139.0,82,3392.0,66,17221.0,82,3118.0,62,18532.0,82,3735.0,82
Dexter John S,Dexter,John S,RI,yes,2.0,1,49.0,1,0.0,0,0.0,0,0.0,0,0.0,0
James Johnson,James,Johnson,VA,yes,81.0,2,86.0,2,40.0,2,76.0,2,114.0,4,299.0,4
