,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
Jacob Johnston,Jacob,Johnston,NC,yes,3100,6,590.52217,6
Jacob Rinker,Jacob,Rinker,VA,yes,500,1,37.74306,1
Jacob Weed,Jacob,Weed,GA,yes,2400,4,209.175,4
Jacob Willard,Jacob,Willard,MA,no,1100,4,636.3805,4
James Anderson,James,Anderson,NC,yes,1800,4,98.86945,4
James Armstrong,James,Armstrong,NC,yes,3200,4,150.904176,4
James Black,James,Black,DE,yes,7900,9,616.08887,9
James Campbell,James,Campbell,PA,did not vote,12200,7,544.4028500000001,7
James Carr,James,Carr,MA,no,500,1,30.46667,1
James Craig,James,Craig,SC,no,20300,25,10048.400020000001,25
James G. Hunt,James G.,Hunt,SC,no,1700,4,385.29588,4
James Gordon,James,Gordon,VA,yes,4500,7,880.4333899999999,7
James Gordon Heron,James Gordon,Heron,MD,yes,4500,7,880.4333899999999,7
James Johnson,James,Johnson,VA,yes,4300,5,264.90835,5
James Marshall,James,Marshall,PA,no,2500,4,197.83195,4
James Martin,James,Martin,MD,yes,4100,5,155.11112,5
James Maxwell,James,Maxwell,GA,yes,5000,9,445.01388999999995,9
James McClurg,James,McClurg,Constitution,no,1000,1,208.3472,1
James Montgomery,James,Montgomery,VA,no,1100,2,83.03473,2
James Moore,James,Moore,NC,no,1400,4,282.06114,4
James Morris,James,Morris,PA,yes,2600,5,338.66111,5
James Porter,James,Porter,NC,no,4400,9,199.84166,9
James Potter,James,Potter,CT,yes,5000,11,949.2778600000001,11
James Stewart,James,Stewart,SC,yes,1700,4,113.99028,4
James Taylor,James,Taylor,VA,yes,6100,4,532.93333,4
James Thomas,James,Thomas,RI,no,2300,2,187.36113,2
James Thompson,James,Thompson,NC,no,96400,95,4422.530561400008,95
James Upshaw,James,Upshaw,VA,no,1300,4,119.63611,4
James White,James,White,NC,yes,1800,5,369.02783000000005,5
James Williams,James,Williams,MA,no,3400,10,380.0875,10
James Wilson,James,Wilson,Constitution,yes,10200,19,5813.99862,19
Jasper Yeates,Jasper,Yeates,PA,yes,1300,4,126.29861,4
Jedediah Huntington,Jedediah,Huntington,CT,yes,25400,40,12860.934778999997,40
Jeremiah Fogg,Jeremiah,Fogg,NH,yes,1900,5,1355.38889,5
Jeremiah Halsey,Jeremiah,Halsey,CT,yes,10900,9,4376.311110000001,9
Jeremiah Ripley,Jeremiah,Ripley,CT,yes,800,2,472.9556,2
Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,303300,369,35498.52977999993,369
Jesse Hand,Jesse,Hand,NJ,yes,11600,9,520.86113,9
Jesse Johnson,Jesse,Johnson,NH,yes,3900,8,326.59443999999996,8
John  Allen,John ,Allen,VA,yes,13900,16,884.794326,16
John  Fox,John, Fox,MA,yes,18400,32,4401.06109,32
John A. Campbell,John A.,Campbell,NC,no,23300,43,2137.01101,43
John Allen,John,Allen,NC,yes,13900,16,884.794326,16
John Allison,John,Allison,PA,yes,200,1,9.85,1
John Anderson,John,Anderson,NC,yes,2300,4,518.63611,4
John Arndt,John,Arndt,PA,yes,1100,3,105.52083,3
John Ashley,John,Ashley,MA,yes,7600,6,1231.2000400000002,6
John Baird,John,Baird,PA,no,2600,5,1605.1027000000001,5
John Baker,John,Baker,NC,yes,32700,51,7787.109810000005,51
John Barclay,John,Barclay,PA,yes,5200,4,2293.5111399999996,4
John Baxter,John,Baxter,MA,yes,200,1,23.044439999999998,1
John Beatty,John,Beatty,NJ,yes,5600,13,766.3112000000001,13
John Bishop,John,Bishop,PA,no,2900,6,72.5,6
John Black,John,Black,PA,yes,4900,6,273.63889,6
