,,,Value,Value
,,,sum,count
John Miller,VA,no,2193.4699999999993,38
John Montgomery,SC,no,614.72,9
John Moore,NC,yes,3855.5899999999997,61
John Neilson,NJ,yes,141.89,3
John Nevill,PA,yes,41.6,1
John Overton,NC,yes,2796.57,6
John Palmer,SC,yes,152.51,4
John Parker,SC,yes,974.88,18
John Phelps,CT,yes,248.24,6
John Pickering,NH,yes,269.36,5
John Pratt,MA,no,3388.3000000000006,21
John Reynolds,PA,no,1404.66,26
John Rhea,NC,yes,86.6,2
John Richards,PA,yes,604.9699999999999,12
John Scott,NC,no,5745.120000000001,40
John Simmons,SC,yes,211.6,4
John Skinner,NC,yes,214.39,3
John Smith,NY,yes,21242.689999999988,198
John Spicer,NC,yes,320.9,6
John Steele,VA,no,95.86,2
John Stevens,NJ,yes,627.8699999999999,15
John Stewart,MD,yes,447.52,9
John Stringer,VA,yes,675.05,9
John Stuart,VA,yes,26.6,1
John Sullivan,NH,yes,757.78,15
John Swan,NC,yes,3625.9500000000003,9
John Taylor,MA,no,2355.7099999999996,40
John Thomas,SC,yes,7226.010000000001,52
John Thompson,NC,yes,3047.8399999999992,52
John Turner,MA,yes,926.7599999999999,15
John Wallace,NC,yes,82.1,2
John Watson,CT,yes,1157.82,18
John Webber,MA,no,153.91,4
John Weeks,NH,yes,233.82999999999998,4
John Williams,VA,yes,6812.950000000002,62
John Willis,NC,yes,3598.6900000000005,12
John Wilson,VA,no,4480.210000000001,29
John Winn,NY,no,436.65,6
John Wood,NY,no,316.58,10
Jonathan Bullard,MA,no,72.16,2
Jonathan Chase,NH,yes,77.16,1
Jonathan Clark,SC,yes,4328.54,6
Jonathan Day,MA,no,282.9,4
Jonathan Dayton,Constitution,yes,4084.54,8
Jonathan Green,MA,no,240.12,5
Jonathan Hubbard,MA,no,223.29,5
Jonathan Smith,MA,no,1800.3500000000001,7
Jonathan Sturges,CT,yes,91.3,1
Joseph Blanchard,NH,yes,291.98,7
Joseph Brown,SC,no,3871.2799999999997,23
Joseph Douglass,NC,no,82.25,2
Joseph Graham,NC,no,33.82,1
Joseph Harvey,NC,yes,125.16999999999999,4
Joseph Hopkins,CT,yes,23.3,1
Joseph Hutchins,NH,no,150.2,2
Joseph Jackson,MA,yes,517.3,10
Joseph Jones,VA,no,1615.81,23
Joseph Kimball,NH,yes,242.05,4
Joseph Martin,NC,yes,404.88,8
Joseph Palmer,MA,yes,247.45,2
Joseph Powell,PA,no,21.55,2
Joseph Richardson,MD,yes,104.47999999999999,5
Joshua Thomas,MA,yes,165.7,3
Joshua Whitney,MA,no,2151.3599999999997,10
Josiah Goddard,MA,yes,9.63,1
Josiah Smith,MA,yes,5138.240000000001,19
Lemuel Collins,MA,no,26.27,1
Levi Whitman,MA,yes,177.1,3
Lewis Morris,NY,yes,160.0,1
Luther Martin,Constitution,no,60.0,1
Michael Farley,MA,yes,73.03,1
Moses Chamberlain,NH,yes,458.27,4
Moses Cleveland,CT,yes,33.53,1
Moses Rawlings,MD,yes,203.3,2
Nathan Cushing,MA,yes,230.49,2
Nathaniel Bean,NH,no,79.51,2
Nathaniel Burwell,VA,yes,3500.0,5
Nathaniel Leonard,MA,yes,1070.43,6
Nathaniel Rogers,NH,yes,1.02,1
Nathaniel Russell,SC,yes,52.04,2
Nicholas Gilman,Constitution,yes,3305.0099999999998,6
Pearce Samuel,RI,yes,141.12,2
Peter Smith,SC,yes,3326.5499999999997,25
Reynolds Joseph,RI,no,428.73,8
Richard Bassett,Constitution,yes,354.15,3
Richard Lewis,NC,yes,475.0,6
Richard Smith,DE,yes,969.27,16
Robert Edwards,NC,no,293.21,5
Robert Morris,Constitution,yes,269.23,4
Robert Patton,SC,no,4611.0,7
Robert Payne,NC,yes,82.78,2
Robert Peebles,NC,no,2261.52,8
Robert Steward,NH,no,35.93,2
Robert Williams,VA,no,1733.1799999999998,11
Robert Wilson,MA,no,1549.83,9
Samuel Adams,MA,yes,7772.03,33
Samuel Baker,MA,yes,418.97,7
Samuel Beach,CT,yes,1815.18,6
Samuel Chapman,CT,yes,808.44,10
Samuel Chase,MD,no,250.28,5
Samuel Denny,MA,no,20.6,1
Samuel Eddy,MA,no,201.99,6
Samuel Evans,MD,yes,542.1400000000001,9
Samuel Grant,MA,yes,426.54,7
Samuel H. Parsons,CT,yes,10242.41,5
Samuel Hale,NH,yes,353.8,1
Samuel Hay,NJ,yes,3808.5699999999997,6
Samuel Huntington,CT,yes,11.88,1
Samuel Johnston,NC,yes,1450.7000000000003,28
Samuel Jones,NY,yes,4265.780000000001,29
Samuel Merrill,MA,yes,79.66999999999999,3
Samuel Niles,MA,yes,77.42999999999999,4
Samuel Reed,MA,no,2435.2200000000003,15
Samuel Shipman,CT,yes,49.1,1
Samuel Simpson,NC,yes,203.3,3
Samuel Smith,SC,yes,5108.490000000001,42
Samuel Spencer,NC,no,265.51,5
Samuel Taylor,SC,yes,756.8599999999999,15
Samuel Warren,SC,yes,82.38,2
Samuel West,MA,yes,76.6,1
Samuel Whiting,CT,no,390.32,5
Samuel Willard,MA,no,77.47000000000001,3
Samuel Young,NH,yes,246.0,3
Selah Hart,CT,yes,80.0,1
Simeon Smith,CT,yes,2838.0,12
Solomon Green,NC,yes,162.6,3
Stephen Billings,CT,yes,2072.74,6
Stephen Smith,SC,yes,91.7,2
Thomas Allen,VA,no,9.05,1
Thomas Anderson,NJ,yes,5101.27,22
Thomas Arthur,VA,no,100.6,1
Thomas Blount,NC,yes,32.2,1
Thomas Brown,NC,no,2586.7799999999997,45
Thomas Bull,PA,yes,148.26,1
Thomas Campbell,PA,yes,3566.6500000000005,14
Thomas Carter,VA,No,68.69,1
Thomas Cheney,PA,yes,87.3,3
Thomas Cooper,VA,no,100.0,2
Thomas Davis,MA,yes,1101.7,16
Thomas Durfee,MA,yes,43.1,1
Thomas Edmunds,VA,no,3024.5699999999997,4
Thomas Evans,DE,yes,3330.16,14
Thomas Fuller,SC,yes,241.55999999999997,5
Thomas Gaskins,VA,yes,4133.3,3
Thomas Goodman,CT,no,229.33,2
Thomas Howell,SC,no,227.2,4
Thomas Johnson,MD,yes,386.05,7
Thomas Johnston,NC,yes,187.2,4
Thomas Jones,MA,yes,2487.6799999999994,42
Thomas Kittridge,MA,no,67.25,1
Thomas Lewis,VA,yes,357.19,9
Thomas Matthews,VA,yes,418.35999999999996,8
Thomas Mighill,MA,no,120.0,1
Thomas Owen,NC,yes,5.82,1
Thomas Pierce,VA,did not vote,543.5,12
