,CD name,Loan Office name,state
1277,Matthew Watson from the office of William Imlay Connecticut ,William Watson,VA
275,Christopher Johnston,Christopher Johnson,NH
276,John Jacob Lansing,John Jacob Lansingh,NH
277,John R Livingston,John R. Livingston,NH
278,Nicholas Roosevelt,Nicholas Rosevelt,NH
279,Benjamin Johnson,Benjamin Johnston,NH
280,Mary Brinkerhoff,Mary Brinckerhoff,NH
281,Wiliam Alexander,William Alexander,NH
282,Winthrop Sargent,Winthrop Sargeant,NH
283,Nehemiah Parson,Nehemiah Parsons,NH
284,Dietrick Metzner,Detrick Metzner,NH
285,Benjamin Titcomb,Benjamin Ticomb,NH
286,Nathaniel Steele,Nathaniel Seele,NH
287,Thomas Thornton,Thomas Thorton,NH
288,Benjamin Brown,Benjamin Browne,NH
289,William Bingham,William Bigham,NH
290,Phillip Gardner,Philip Gardner,NH
291,William Sherer,William Shearer,NH
292,Mathew Pearson,Matthew Pearson,NH
293,Nicholas Cruger,Nicolas Cruger,NH
294,William Crooke,William Crook,NH
295,William Brown,William Browne,NH
296,George Mofatt,George Moffatt,NH
297,Helena Bogart,Helenat Bogart,NH
299,Helena Bogart,Helenah Bogart,NH
300,John Robinson,John Robbinson,NH
301,William Price,William Prince,NH
302,William Harvey,William Harvy,NH
303,Thomas Colson,Thomas Colston,NH
304,William  Sharp,William Sharp,NH
305,John Hamilton,John Hammilton,NH
306,Leonard Bronk,Leonard Bronck,NH
307,William Rogers,William Roger,NH
308,James Johnston,James Johnson,NH
309,Wiliam Bryan,William Bryan,NH
310,David Stuart,David Steuart,NH
311,Wiliam White,William White,NH
312,Robert Means,Robert Mearns,NH
313,John Thompson,John Tompson,NH
314,Joseph Clarke,Joseph Clark,NH
315,Amos Shepard,Amos Shephard,NH
316,James Huston,James Houston,NH
317,Thomas Reber,Thomas Reuber,NH
318,Joseph Young,Joseph Youngs,NH
319,Thomas Jones,Thomas Johnes,NH
320,John Coburn,John Coburne,NH
321,John Cropper,John Copper,NH
322,John Herdman,John Herman,NH
323,John Brooke,John Brooker,NH
324,John Wharton,John Harton,NH
325,John Wilson,John Willson,NH
326,John Brooke,John Brook,NH
327,John Brown,John Browne,NH
328,John Holmes,John Holms,NH
329,John Barker,John Baker,NH
330,Mary Porter,Mary Poter,NH
331,John P Thomas,John Thomas,NH
332,Robert C Livingston,Robert Livingston,NH
333,George Carrington,George Carrington Jr,NH
334,John Jacob Lansing,Jacob Lansing,NH
335,Richard E Lee,Richard Lee,NH
336,Samuel K Bradford,Samuel Bradford,NH
337,John L Hunn,John Hunn,NH
338,John Carter,John Carter jr,NH
339,Richard M Scott,Richard Scott,NH
340,John Smith,John Nic Smith,NH
342,William Smith,William P Smith,NH
343,William Smith,William D Smith,NH
344,John Thompson Mason,John Thompson,NH
345,Philip Schuyler,Philip P Schuyler,NH
346,John Brooke,John Tin. Brooke,NH
347,John R B Rogers,John Rogers,NH
348,Thomas Mifflin  Ex,Thomas Mifflin,NH
349,John S Dexter,John Dexter,NH
350,William Gray,William Gray 3rd,NH
351,William Smith,William O. Smith,NH
352,Thomas O Elliott,Thomas Elliott,NH
353,Robert R Randall,Robert Randall,NH
354,Joseph H Shepard,Joseph Shepard,NH
355,William W Morris,William Morris,NH
356,James Henry,Henry James,NH
357,John Bleecker,John Jay Bleecker,NH
358,John Bleecker,John N. Bleecker,NH
359,Benjamin Ruffin,Benjamin Ruffin Jr,NH
360,John E Howard,John Howard,NH
361,John R Livingston,John Livingston,NH
362,Henry Livingston,Henry G Livingston,NH
363,Garret John,John Garret,NH
364,Abraham Lansing,Abraham A. Lansing,NH
638,Christopher Johnston,Christopher Johnson,MA
639,John Jacob Lansing,John Jacob Lansingh,MA
640,Nicholas Roosevelt,Nicholas Rosevelt,MA
641,John R Livingston,John R. Livingston,MA
642,Mary Brinkerhoff,Mary Brinckerhoff,MA
643,Wiliam Alexander,William Alexander,MA
644,Benjamin Johnson,Benjamin Johnston,MA
645,Dietrick Metzner,Detrick Metzner,MA
646,Ebenezer Storer,Ebenzer Storer,MA
647,Thomas Thornton,Thomas Thorton,MA
648,William Bingham,William Bigham,MA
649,Nicholas Cruger,Nicolas Cruger,MA
650,William Sherer,William Shearer,MA
651,Phillip Gardner,Philip Gardner,MA
652,Mathew Pearson,Matthew Pearson,MA
654,John Robinson,John Robbinson,MA
655,George Mofatt,George Moffatt,MA
656,Thomas Colson,Thomas Colston,MA
657,Leonard Bronk,Leonard Bronck,MA
658,William Rogers,William Roger,MA
659,William Harvey,William Harvy,MA
660,William Hines,William Haines,MA
661,William  Sharp,William Sharp,MA
662,John Hamilton,John Hammilton,MA
663,William Price,William Prince,MA
664,Helena Bogart,Helenat Bogart,MA
665,Thomas Russell,Thomas Russel,MA
666,Helena Bogart,Helenah Bogart,MA
668,William Crooke,William Crook,MA
669,William Jones,William Johnes,MA
670,Andrew Elliott,Andrew Elliot,MA
671,Wiliam Bryan,William Bryan,MA
672,Robert Means,Robert Mearns,MA
673,James Huston,James Houston,MA
674,John Thompson,John Tompson,MA
675,Thomas Reber,Thomas Reuber,MA
676,David Stuart,David Steuart,MA
678,Thomas Jones,Thomas Johnes,MA
679,Joseph Young,Joseph Youngs,MA
680,Wiliam White,William White,MA
681,John Wilson,John Willson,MA
682,John Brooke,John Brooker,MA
683,John Herdman,John Herman,MA
684,John Coburn,John Coburne,MA
685,John Cropper,John Copper,MA
686,John Wharton,John Harton,MA
688,John Holmes,John Holms,MA
689,John Brooke,John Brook,MA
690,Mary Porter,Mary Poter,MA
692,Abraham Lansing,Abraham A. Lansing,MA
693,Thomas Mifflin  Ex,Thomas Mifflin,MA
694,John Smith,John Nic Smith,MA
695,John Brooke,John Tin. Brooke,MA
696,William Smith,William O. Smith,MA
697,William Smith,William P Smith,MA
698,John L Hunn,John Hunn,MA
699,John R Livingston,John Livingston,MA
700,Henry Livingston,Henry G Livingston,MA
702,John Jacob Lansing,Jacob Lansing,MA
704,William Smith,William D Smith,MA
705,Richard M Scott,Richard Scott,MA
706,John Thompson Mason,John Thompson,MA
707,John Bleecker,John Jay Bleecker,MA
708,James Henry,Henry James,MA
709,William W Morris,William Morris,MA
710,Garret John,John Garret,MA
713,George Carrington,George Carrington Jr,MA
714,Thomas Williams,Thomas M Williams,MA
715,Thomas O Elliott,Thomas Elliott,MA
716,Richard E Lee,Richard Lee,MA
717,John Carter,John Carter jr,MA
718,John Bleecker,John N. Bleecker,MA
719,John E Howard,John Howard,MA
720,Benjamin Ruffin,Benjamin Ruffin Jr,MA
721,Philip Schuyler,Philip P Schuyler,MA
722,Robert C Livingston,Robert Livingston,MA
1037,Christopher Johnston,Christopher Johnson,CT
1039,John Jacob Lansing,John Jacob Lansingh,CT
1040,John R Livingston,John R. Livingston,CT
1041,Nicholas Roosevelt,Nicholas Rosevelt,CT
1042,Mary Brinkerhoff,Mary Brinckerhoff,CT
1043,Benjamin Johnson,Benjamin Johnston,CT
1044,Wiliam Alexander,William Alexander,CT
1045,Nathaniel Steele,Nathaniel Seele,CT
1046,Benjamin Summer,Benjamin Summers,CT
1047,Nathaniel Matson,Nathaniel Mason,CT
1048,Samuel McClellan,Samuel McLellan,CT
1049,Stephen Johnson,Stephen Johnston,CT
1050,Dietrick Metzner,Detrick Metzner,CT
1051,Thomas Thornton,Thomas Thorton,CT
1052,William Bingham,William Bigham,CT
1053,Phillip Gardner,Philip Gardner,CT
1054,Ebenezer Storer,Ebenzer Storer,CT
1055,William Sherer,William Shearer,CT
1056,Mathew Pearson,Matthew Pearson,CT
1057,Nicholas Cruger,Nicolas Cruger,CT
1058,Thomas Colson,Thomas Colston,CT
1059,John Humpheys,John Humphreys,CT
1060,William Rogers,William Roger,CT
1061,Susannah White,Susanna White,CT
1062,William Hines,William Haines,CT
1063,Helena Bogart,Helenah Bogart,CT
1064,Helena Bogart,Helenat Bogart,CT
1065,George Mofatt,George Moffatt,CT
1066,Abijah Savage,Habijah Savage,CT
1067,William Brown,William Browne,CT
1068,William  Sharp,William Sharp,CT
1069,William Crooke,William Crook,CT
1070,John Hamilton,John Hammilton,CT
1071,James Johnston,James Johnson,CT
1072,Leonard Bronk,Leonard Bronck,CT
1073,William Harvey,William Harvy,CT
1074,John Humphrey,John Humphreys,CT
1075,William Morris,William Moris,CT
1076,James Huston,James Houston,CT
1077,David Stuart,David Steuart,CT
1078,Robert Means,Robert Mearns,CT
1079,John Thompson,John Tompson,CT
1080,Wiliam Bryan,William Bryan,CT
1081,John Williams,John William,CT
1082,Hannah Hawley,Hannah Haley,CT
1083,Wiliam White,William White,CT
1084,Joseph Clarke,Joseph Clark,CT
1086,Thomas Reber,Thomas Reuber,CT
1089,John Coburn,John Coburne,CT
1090,John Parsons,John Parson,CT
1091,John Brooke,John Brooker,CT
1092,John Cropper,John Copper,CT
1093,Caleb Fowler,Caleb Fowle,CT
1094,John Wharton,John Harton,CT
1095,John Brooke,John Brook,CT
1096,John Holmes,John Holms,CT
1097,John Barker,John Baker,CT
1098,John Brown,John Browne,CT
1099,John Tyler,John Tayler,CT
1100,Mary Porter,Mary Poter,CT
1101,Robert R Randall,Robert Randall,CT
1103,John Smith,John Nic Smith,CT
1104,John S Dexter,John Dexter,CT
1105,Robert C Johnson,Robert Johnson,CT
1106,John R B Rogers,John Rogers,CT
1107,John Williams,John Davis Williams,CT
1108,Thomas Mifflin  Ex,Thomas Mifflin,CT
1109,Thomas O Elliott,Thomas Elliott,CT
1110,John Brooke,John Tin. Brooke,CT
1111,Richard M Scott,Richard Scott,CT
1112,John Thompson Mason,John Thompson,CT
1113,John Williams,John M Williams,CT
1114,Jonathan B Smith,Jonathan Smith,CT
1116,John Williams,John F Williams,CT
1117,Thomas C Green,Thomas Green,CT
1118,John Carter,John Carter jr,CT
1119,William Smith,William O. Smith,CT
1120,Timothy Green,Timothy J. Green,CT
1121,William W Morris,William Morris,CT
1122,John Bleecker,John Jay Bleecker,CT
1124,John Bleecker,John N. Bleecker,CT
1125,Philip Schuyler,Philip P Schuyler,CT
1126,George Carrington,George Carrington Jr,CT
1127,Garret John,John Garret,CT
1128,Thomas Williams,Thomas M Williams,CT
1129,James Henry,Henry James,CT
1130,Joseph P Cooke,Joseph Cooke,CT
1131,Abraham Lansing,Abraham A. Lansing,CT
1132,William Smith,William D Smith,CT
1133,Richard E Lee,Richard Lee,CT
1134,William Smith,William P Smith,CT
1135,John L Hunn,John Hunn,CT
1136,Samuel W Williams,Samuel Williams,CT
1137,John Norton,John H Norton,CT
1138,William St John,John William,CT
1139,William St John,William John,CT
1140,John Jacob Lansing,Jacob Lansing,CT
1141,Robert C Livingston,Robert Livingston,CT
1142,Benjamin Ruffin,Benjamin Ruffin Jr,CT
1143,Henry Livingston,Henry G Livingston,CT
1144,John Thomas,John A Thomas,CT
1145,John R Livingston,John Livingston,CT
1401,Christopher Johnston,Christopher Johnson,NY
1402,Benjamin Johnson,Benjamin Johnston,NY
1403,Wiliam Alexander,William Alexander,NY
1404,Nathaniel Steele,Nathaniel Seele,NY
1405,Dietrick Metzner,Detrick Metzner,NY
1406,Nicholas Cruger,Nicolas Cruger,NY
1407,Ebenezer Storer,Ebenzer Storer,NY
1408,Mathew Pearson,Matthew Pearson,NY
1409,Thomas Thornton,Thomas Thorton,NY
1410,William Bingham,William Bigham,NY
1411,William Sherer,William Shearer,NY
1412,Phillip Gardner,Philip Gardner,NY
1413,John Robinson,John Robbinson,NY
1414,William Rogers,William Roger,NY
1415,William Price,William Prince,NY
1416,William Brown,William Browne,NY
1417,James Johnston,James Johnson,NY
1418,John Hamilton,John Hammilton,NY
1419,William  Sharp,William Sharp,NY
1420,Thomas Colson,Thomas Colston,NY
1421,William Harvey,William Harvy,NY
1422,William Jones,William Johnes,NY
1423,Helena Bogart,Helenat Bogart,NY
1424,George Mofatt,George Moffatt,NY
1425,William Crooke,William Crook,NY
1426,William Hines,William Haines,NY
1427,Helena Bogart,Helenah Bogart,NY
1429,Robert Means,Robert Mearns,NY
1430,Thomas Jones,Thomas Johnes,NY
1431,David Stuart,David Steuart,NY
1432,Joseph Clarke,Joseph Clark,NY
1433,James Huston,James Houston,NY
1434,Thomas Reber,Thomas Reuber,NY
1435,John Thompson,John Tompson,NY
1436,Wiliam Bryan,William Bryan,NY
1437,Joseph Young,Joseph Youngs,NY
1438,John Cropper,John Copper,NY
1439,John Herdman,John Herman,NY
1440,John Wilson,John Willson,NY
1441,John Coburn,John Coburne,NY
1442,John Brooke,John Brooker,NY
1443,John Wharton,John Harton,NY
1444,John Holmes,John Holms,NY
1445,Mary Porter,Mary Poter,NY
1446,John Brown,John Browne,NY
1447,John Brooke,John Brook,NY
1448,John Barker,John Baker,NY
1449,Jonathan B Smith,Jonathan Smith,NY
1450,James Henry,Henry James,NY
1451,John Smith,John Nic Smith,NY
1452,John Brooke,John Tin. Brooke,NY
1453,John R B Rogers,John Rogers,NY
1454,Thomas Mifflin  Ex,Thomas Mifflin,NY
1455,Robert R Randall,Robert Randall,NY
1456,Benjamin Ruffin,Benjamin Ruffin Jr,NY
1457,John Thompson Mason,John Thompson,NY
1458,Garret John,John Garret,NY
1459,Thomas O Elliott,Thomas Elliott,NY
1460,William Smith,William O. Smith,NY
1461,John L Hunn,John Hunn,NY
1462,John E Howard,John Howard,NY
1463,George Carrington,George Carrington Jr,NY
1464,William Smith,William P Smith,NY
1465,John S Dexter,John Dexter,NY
1466,John Carter,John Carter jr,NY
1467,Richard E Lee,Richard Lee,NY
1468,John P Thomas,John Thomas,NY
1469,William Smith,William D Smith,NY
1470,Samuel K Bradford,Samuel Bradford,NY
1471,William W Morris,William Morris,NY
1472,Richard M Scott,Richard Scott,NY
1732,John Jacob Lansing,John Jacob Lansingh,NJ
1733,Nicholas Roosevelt,Nicholas Rosevelt,NJ
1734,John R Livingston,John R. Livingston,NJ
1735,Mary Brinkerhoff,Mary Brinckerhoff,NJ
1736,Benjamin Johnson,Benjamin Johnston,NJ
1737,Wiliam Alexander,William Alexander,NJ
1738,Nathaniel Steele,Nathaniel Seele,NJ
1739,Dietrick Metzner,Detrick Metzner,NJ
1740,Ebenezer Storer,Ebenzer Storer,NJ
1741,Thomas Thornton,Thomas Thorton,NJ
1742,William Bingham,William Bigham,NJ
1743,Nicholas Cruger,Nicolas Cruger,NJ
1744,William Sherer,William Shearer,NJ
1745,Mathew Pearson,Matthew Pearson,NJ
1746,Phillip Gardner,Philip Gardner,NJ
1747,Helena Bogart,Helenah Bogart,NJ
1748,Helena Bogart,Helenat Bogart,NJ
1749,Leonard Bronk,Leonard Bronck,NJ
1750,William Price,William Prince,NJ
1751,William Brown,William Browne,NJ
1752,William Harvey,William Harvy,NJ
1753,John Robinson,John Robbinson,NJ
1754,Thomas Colson,Thomas Colston,NJ
1755,William  Sharp,William Sharp,NJ
1756,William Hines,William Haines,NJ
1757,John Hamilton,John Hammilton,NJ
1758,James Johnston,James Johnson,NJ
1759,William Rogers,William Roger,NJ
