,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
90,George Clymer,George,Clymer,Constitution,yes,1400,2,168.75558,2,1401.875062,1.0
91,George Digges,George,Digges,MD,yes,200,1,6.808333,1,200.07564814444444,1.0
92,George H. Berger,George H.,Berger,NC,no,5500,5,279.6737,5,5503.107485555555,0.0
93,George Mitchell,George,Mitchell,NC,yes,4900,3,385.0903,3,4904.278781111111,1.0
94,George Read,George,Read,Constitution,yes,2800,2,267.29997000000003,2,2802.969999666667,1.0
95,George Truitt,George,Truitt,DE,yes,500,2,47.04861,2,500.52276233333333,1.0
96,George Washington,George,Washington,Constitution,yes,82000,21,4746.21646,21,82052.73573844445,1.0
97,Gideon Buckingham,Gideon,Buckingham,CT,yes,300,1,123.4917,1,301.37213,1.0
98,Gilbert Livingston,Gilbert,Livingston,NY,yes,15000,10,1255.8334599999998,10,15013.953705111111,1.0
99,Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,9300,24,401.83887,24,9304.464876333333,1.0
100,"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,9300,24,401.83887,24,9304.464876333333,1.0
101,"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,9300,24,401.83887,24,9304.464876333333,1.0
102,Gustavus Richard Brown,Gustavus Richard,Brown,MD,yes,3200,5,207.12221999999997,5,3202.301358,1.0
103,Henry Baker,Henry,Baker,NC,yes,600,1,50.00833,1,600.5556481111112,1.0
104,Henry Hill,Henry,Hill,NC,no,1800,4,161.30138,4,1801.7922375555556,0.0
105,Henry Hollingsworth,Henry,Hollingsworth,MD,yes,2800,4,212.72222,4,2802.363580222222,1.0
106,Henry Laurens,Henry,Laurens,SC,yes,500,1,29.41667,1,500.3268518888889,1.0
107,Henry Lee,Henry,Lee,VA,no,13900,27,413.55278,27,13904.59503088889,0.0
108,Henry Lee III,Henry,Lee III,VA,yes,13900,27,413.55278,27,13904.59503088889,1.0
109,Henry Slagle,Henry,Slagle,PA,yes,800,4,50.51388,4,800.5612653333334,1.0
110,Henry Wisner,Henry,Wisner,NY,no,500,1,12.5,1,500.1388888888889,0.0
111,Henry Wynkoop,Henry,Wynkoop,PA,yes,3600,5,1673.08333,5,3618.589814777778,1.0
