,Original Name,Search Names,6p_Total,6p_def_Total,3p_Total,Name Count,Family Size 1,Family Size 2,Location 1,Location 2,Match Reason 1,Match Reason 2,Match Status 1,Match Status 2,Slavecount 1,Slavecount 2,url 1,url 2
790,{'John Tryon'},['John Tryon'],0.0,0.0,153.0,1,10,,"Canaan, Columbia, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Tryon&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
791,{'John Schurman'},['John Schurman'],0.0,0.0,152.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Schurman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
792,{'Riverus Camp'},['Riverus Camp'],0.0,0.0,152.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Riverus_Camp&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
793,{'William Steele'},['William Steele'],0.0,0.0,152.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Steele&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
794,{'Anna Davis'},['Anna Davis'],0.0,0.0,151.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Anna_Davis&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
795,{'Cornelius Davis'},['Cornelius Davis'],0.0,0.0,151.0,1,6,,"New York City Montgomery Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Cornelius_Davis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
796,{'Margaret Cumming'},['Margaret Cumming'],0.0,0.0,151.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Margaret_Cumming&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
797,{'Robert Crommelin'},['Robert Crommelin'],0.0,0.0,151.0,1,11,,"Flushing, Queens, New York",,Full Match,,Match,,8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Crommelin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
798,{'Sally Crane'},['Sally Crane'],0.0,0.0,151.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Sally_Crane&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
799,{'Samuel Hutton'},['Samuel Hutton'],0.0,0.0,151.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Hutton&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
800,{'Thomas Pearsall and Son'},['Thomas Pearsall'],0.0,0.0,148.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Pearsall&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
