state,county,town,0
PA,Northumberland County,Sunbury,1
PA,Philadelphia County,Blockley,1
PA,Philadelphia County,Borden,3
PA,Philadelphia County,Burlington New Jersey,1
PA,Philadelphia County,Germantown,1
PA,Philadelphia County,NaN,25
PA,Philadelphia County,Northern Liberties,6
PA,Philadelphia County,Passyunk,1
PA,Philadelphia County,Philadelphia,657
PA,Philadelphia County,Southwark,1
PA,Philadelphia County,The Northern Libert,1
PA,Washington County,NaN,1
PA,Westmoreland County,Kensington,1
PA,Westmoreland County,NaN,5
PA,Westmoreland County,Westmoreland,1
PA,York County,NaN,11
PA,York County,York,10
RI,Bristol County,Barrington,12
RI,Bristol County,Bristol,10
RI,Bristol County,Warren,19
RI,Kent County,Coventry,6
RI,Kent County,East Greenwich,14
RI,Kent County,Warwick,22
RI,Kent County,West Greenwich,12
RI,NaN,Bedford,1
RI,NaN,Coventry,3
RI,NaN,Gloucester,2
RI,NaN,Hopkinton,1
RI,NaN,NaN,7
RI,NaN,Smithfield,1
RI,NaN,Springfield,1
RI,NaN,Warwick,1
RI,Newport County,Little Compton,12
RI,Newport County,Newport,100
RI,Newport County,Portsmouth,4
RI,Newport County,Tiverton,19
RI,Providence County,Cranston,24
RI,Providence County,Cumberland,7
RI,Providence County,Foster,3
RI,Providence County,Gloucester,6
RI,Providence County,Johnson,4
RI,Providence County,Johnston,7
RI,Providence County,North Providence,12
RI,Providence County,Providence,290
RI,Providence County,Scituate,24
RI,Providence County,Smithfield,10
RI,Washington County,Charlestown,10
RI,Washington County,Exeter,9
RI,Washington County,North Kingston,9
RI,Washington County,Richmond,4
RI,Washington County,South Kingston,8
SC,Beaufort County,St Helena,1
SC,Charleston County,Charleston,312
SC,Charleston County,Dorchester,1
SC,Charleston County,James Island,1
SC,Georgetown County,Georgetown,2
SC,Lancaster County,Camden,3
SC,NaN,Bartholomew's Parish,1
SC,NaN,Beaufort,3
SC,NaN,Bristol,1
SC,NaN,Camden,1
SC,NaN,Carolina,1
SC,NaN,Goose Creek,3
SC,NaN,John's Island,1
SC,NaN,Lynches Creek,1
SC,NaN,NaN,13
SC,NaN,Ninety Six District,1
SC,NaN,Peedee,1
SC,NaN,Salem,2
SC,NaN,Santee,7
SC,NaN,St Bartholomew's,1
SC,NaN,St Eustatius,7
SC,NaN,St Gustavus,1
SC,NaN,St John's Parish,1
SC,NaN,St Johnn's Parish,1
SC,NaN,St Luke's,1
SC,NaN,Williamburgh ship,1
SC,NaN,Williamsburgh,1
SC,Pendleton,NaN,1
VA,Accomack County,NaN,1
VA,Fairfax County,Alexandria,2
VA,Hampshire County,Petersburg,2
VA,Henrico County,Richmond,4
VA,King George County,NaN,1
VA,Loudoun County,NaN,1
VA,Mecklenburg County,NaN,1
VA,NaN,NaN,14
VA,Ohio County,NaN,1
VA,Rockingham County,Portsmouth,1
VA,Spotsylvania County,Fredericksburg,1
VT,NaN,NaN,6
