,Original Name,Matches
930,Joseph Clarke,Joseph Clark
931,John Brooke,John Brooker
932,John Wilson,John Willson
933,John Herdman,John Herman
934,John Cropper,John Copper
935,John Brooke,John Brook
936,Garret John,John Garret
937,John P Thomas,John Thomas
938,Richard M Scott,Richard Scott
939,James Henry,Henry James
940,Samuel K Bradford,Samuel Bradford
941,John Brooke,John Tin. Brooke
942,Eliphalet Ladd,Eliphalett Ladd
943,Barnet Akerman,Barnett Akerman
944,George Gains,George Gaines
945,Jedediah Huntington,Jeddediah Huntington
946,Gurdon Saltonstall,Gurdon Salstonstall
947,Jonathan Trumbull,Jonathan Trumbul
948,William Olmsted,William Olmstead
949,Thaddeus Leavitt,Thaddeus Leavit
950,Charles Eldridge,Charles Eldidge
951,Solomon Wadham,Solomon Wadhams
952,Matthew Sears,Mathew Sears
953,Joseph Knight,Joseph Night
954,John Thompson,John Thomson
955,Samuel Huntington III,Samuel Huntington
956,Daniel L Coit,Daniel Coit
957,Abraham Brinkerhoff,Abraham Brinckerhoff
958,Simon Van Anterp,Simon Van Antwerp
959,Marinus Willett,Marinu Willett
960,John Buchanan,John Buchannan
961,Joseph Hallett,Joseph Hallet
962,Joseph Young,Joseph Youngs
963,John Jacob Beekman,Jacob Beekman
964,Abraham Lansing,Abraham G Lansing
965,Abraham Lansing,Abraham A Lansingh
966,Anthony L Bleecker,Anthony Bleeker
967,John N Blecker,John Bleecker
968,Edward Williams,William Edwards
969,John N Blecker,John Becker
970,William Elliot,William Elliott
971,John Lockhart,John Lochart
972,John Lockhart,John Lockart
973,John O'Connor,John Connor
974,James Moore,James Farncis Moore
975,James Johnston John McDowell,John Johnston
976,Matthew Fitzwater,Mathew Fitzwater
977,Blair McClenahan,Blair McClenachan
978,Matthew McConnell,Mathew McConnell
979,George Douglass,George Douglas
980,Matthew Vanlear,Mathew Vanlear
981,Gabriel Heister,Gabriel Hester
982,William Martin,William Martain
983,William Findley,William Finley
984,William Broades,William Broads
985,Thomas Robinson,Thomas Robison
986,Diedrick Gaumer,Dedrick Gaumer
987,Frederick Antis,Fredrick Antis
988,James Campbell,James Cambell
989,Robert Bridges,Robert Bridge
990,Jonathan Smith,Jonathn Smith
991,George Aston,George Easton
992,Daniel Snyder,Daniel Snyer
993,Hannah Duton,Hannah Dutton
994,Jacob Frank,Jacob Franks
995,Jacob Myers,Jacob Mayers
996,Jacob Winey,Jacob Winney
997,Isaac Craige,Isaac Craig
998,John Rhoads,John Roads
999,John Creigh,John Reigh
1000,Jonathan Smith,Jonathan B Smith
1001,Thomas Francis,Francis Thomas
1002,Henry Huttenstein,Henry Hottenstein
1003,Simon Bennett,Simeon Bennet
1004,Peter Williams,William Peter
1005,James Johnston John McDowell,James Johnston
1006,James Morris,James Morris Jones
1007,Jonathan B Smith,Jonathn Smith
1008,William Williams,William Will
1009,James Jones,James Morris Jones
1010,James Gordon Heron,James Herron
1011,William Smith,William Hooker Smith
1012,Joshua Brackett,Joshua Bracket
1013,Michael Hodge,Michael Hodges
1014,Samuel White,Samuel Whiten
1015,Samuel Tufts,Samuel Tuffts
1016,John Lane,John Mc Lane
1017,John Lane,John M Lane
1018,John Fisher,John Fishear
1019,John Humphrey,John Humprey
1020,John Coburn,John Colburn
1021,Samuel P Lord,Samuel Lord
1022,Stephen Field,Stephen Fields
1023,John Humphrey,John Humphry
1024,Simeon Smith,Simon Smith
1025,John Williams,John Mc Williams
1026,James Clark,James D Clark
1027,William Williams,William Mc Williams
1028,Thomas Edgars,Thomas Edgar
1029,William Smith,William L Smith
1030,William Hart,William D Hart
1031,Nathaniel Green,Nathaniel Greene
1032,Edward Williams,edward p williams
1033,Abraham Lansing,Abraham H Lansing
1034,Jonathan Dayton,Jonathan I Dayton
1035,Elbridge Gerry,Eldbridge Gerry
1036,John Story,John Storey
1037,John Olden,John Holden
1038,Ralph Phillips,Ralph Philips
1039,Abraham Mosser,Abraham Osser
1040,William Hayes,William Haynes
1041,John Creigh,John Creig
1042,Thomas M Willing,Thomas Willing
1043,John West,John Van West
1044,John Smith,John L Smith
1045,John Chamberlain,John Chamberlin
1046,James Davidson,James Davison
1047,James Irvine,James Irvin
1048,David Jones,David Johnes
1049,Peter Williams,Peter William
1050,James Morris,James Morriss
1051,John Sumners,John Sumner
1052,John H Stone,John Stone
1053,William Wilkins,Wiliam Wilkins
1054,Robert Johnson,Robert Johnston
1055,William Wilson,William Willson
1056,John Bennett,John Bennet
1057,William Cole,William H Cole
1058,William Patterson,William Paterson
1059,Daniel Jenifer,Daniel Jenifer Adams
1060,John Graham,John A Graham
1061,William Parsons,William Parson
1062,William Barret,William Barre
1063,John Robinson,John Robison
1064,George Jackson,George H Jackson
1065,William Barret,William Barrett
1066,David Choate,David Choates
1067,Jacob Brown,Jacob R Brown
1068,George Frost,George P Frost
1069,Benjamin Tallmadge,Benjamin Talmadge
1070,Philip B Bradley,Phillip B Bradley
1071,Nathaniel Matson,Nathaniel Mason
1072,Philip B Bradley,PhilipB Bradley
1073,Joseph Woodruff,Joseph Woodruffe
1074,Richard Douglass,Richard Douglas
1075,Erastus Wolcott,Erastus Woolcott
1076,John Davenport,John Deavenport
1077,Timothy Burnham,Timothy Burnam
1078,Daniel Watrous,Daniel Waterous
1079,Benjamin Troop,Benjamin Throop
1080,Pownal Deming,Pownal Demming
1081,William Matson,William Mason
1082,Richard Green,Richard Greene
1083,John Whitman,John Whiteman
1084,Thaddeus Weed,Thadeus Weed
1085,Simeon Avery,Simon Avery
1086,David Booth,David Boothe
1087,Roger Wells,Roger Welles
1088,James Green,James Greene
1089,Roger Wells,Rogers Wells
1090,Elias Mason,Elias Meason
1091,Asahel Beebe,Ashel Beebe
1092,John Goodwin,John Godwin
1093,Heman Swift,Herman Swift
1094,John Ripley,John Riley
1095,John Strong,John Stong
1096,Reuben Moss,Ruben Moss
1097,John Morgan,John Organ
1098,Thomas Russell,Thomas C Russell
1099,William Jones,William 1st Jones
1100,John Thomas,John G Thomas
1101,William Jones,William 2nd Jones
1102,John Williams,John 2d Williams
1103,William Smith,William S Smith
1104,Jonathan Palmer,Jonathan W Palmer
1105,George D Avery,George Avery
1106,William Smith,William 2d Smith
1107,William Smith,William J Smith
1108,William Smith,William V Smith
1109,Samuel W Pomeroy,Samuel Pomeroy
1110,James Gray,James W Gray
1111,John Brown,John Sr. Brown
1112,John Brown,John Jr. Brown
1113,John Brown,John A Brown
1114,John Brown,John 2d Brown
1115,James Glentworth,James Glenworth
1116,Frederick Vernon,Fredrick Vernon
1117,Reading Beatty,Readding Beatty
1118,Joseph Thompson,Joseph Thomson
1119,Patrick Byrne,Patrick Byrnes
1120,Jacob Weitzell,Jacob Weitzel
1121,Joseph Ashton,Joseph Asheton
1122,Reading Beatty,Reading Beaty
1123,John McConnell,John McConnel
1124,Jacob Weitzell,Jacob Witzell
1125,John McCleland,John McClelan
1126,William Graham,Wiliam Graham
1127,Patrick Duffey,Patrick Duffy
1128,Jacob Weitzell,Jacob Wetzell
1129,Thomas Edwards,Thomas Edward
1130,John Thomson,John Thomason
1131,Philip Reily,Philip Reiley
1132,Thomas Broom,Thomas Broome
1133,Thomas Dungan,Thomas Dugan
1134,Phillip Brown,Philip Brown
1135,Henry Piercy,Henry Piercey
1136,John Stricker,John Sticker
1137,John Jamison,John Jamieson
1138,Lewis Shell,Lewis Shelle
1139,John Bright,John Ebright
1140,John Rhoads,John Rhoades
1141,Jacob Myers,Jacob Moyers
1142,John Murray,John Murry
1143,John Taylor,John Tylor
1144,John Rhoads,John Rhoad
1145,John Reily,John Reiley
1146,John Jones,John Joynes
1147,John Smith,John C Smith
1148,James Jones,James M'Jones
1149,John Smith,John K Smith
1150,Robert Johnston,Robert Sr. Johnston
1151,Philip Reily,Philip O'Reily
1152,John Taylor,John 2d Taylor
1153,John Salter,John Jr. Salter
1154,John Salter,John Sr. Salter
1155,John Smith,John 4th Smith
1156,John Smith,John 1st Smith
1157,James Jones,James M Jones
1158,James Smith,James 3d Smith
1159,James Smith,James 4th Smith
1160,Henry Chapman,Henry H Chapman
1161,John Smith,John 3d Smith
1162,John Smith,John 2d Smith
1163,John Smith,John Sr. Smith
1164,Richard Anderson,RichardC Anderson
1165,John McClellan,John McClelan
1166,Jacob Walter,Jacob Walters
1167,John Callhan,John Callahan
1168,Michael Smith,Michal Smith
1169,Henry O'Neale,Henry O'Neal
1170,Gerrard Wood,Gerard Wood
1171,John Thomas,Thomas John
1172,James Williams,James M'Williams
1173,George William West,William George
1174,The Treasurer of Cincinnati ,Treasurer of Cincinnati
1175,Whitehead Coleman,Whitehead Colman
1176,William Moseley,William Mosely
1177,William Price,William Preice
1178,John Donnell,John Donnelly
1179,James Brown,James Browne
1180,Matthew Rhea,Mathew Rhea
1181,John Ryland,John Rylands
1182,John Brooke,John Brookes
1183,John Brooke,John Rooke
1184,John Wilson,John 2d Wilson
1185,William Wallace,William B Wallace
1186,James Henry,James M'Henry
1187,John Carter,John 2d Carter
1188,John Carter,John C Carter
