,Delegates,Loan Matches,Scores
3853,Manchester Isaac,Isaac Manchester,95.0
3855,Ladd William,William Ladd,95.0
3860,Davis John,John Davis,95.0
3867,Miller Nathan,Nathan Horton Miller,86.0
3868,Pearce Samuel,Samuel Pearce,95.0
3870,Dexter John S,John Dexter,95.0
3879,Brown John,John Brown,95.0
3891,Brown Elisha,Elisha Brown,95.0
3894,Allen Thomas,Thomas Allen,95.0
3896,Allen Samuel,Samuel Allen,95.0
4004,Thomas Brown,Thomas Brown ,100.0
4085,John Easton,John Easton,100.0
4306,John Hunt,John Hunt,100.0
4482,John A. Campbell,John Campbell,95.0
4569,Samuel Johnston,Samuel Johnson,97.0
4665,Joseph Martin,Joseph Martin,100.0
4739,John Brown,John Brown,100.0
4772,William Richardson Davie,William Richardson,95.0
4974,Samuel Young,Samuel Young,100.0
