,full name,state,state debt,Same State Loan Office,Different State Loan Office,Same State Liquidated Debt,Different State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SSLD Total,DSLD Total,PC Total,Debt Total,tot_pre1790_certs
1290,['John Threlkeld'],MD,MD,['John Threlkeld'],,,,,1816.86,76.5,0.0,0.0,0.0,0.0,76.5,1
1291,['John Todd'],SC,SC,['John Todd'],['John Todd'],,,['John Todd'],391.29,0.0,295.33332,0.0,0.0,55.39,350.72332,3
1292,['John Travis'],PA,PA,,,,,,10413.69,0.0,0.0,0.0,0.0,0.0,0.0,0
1293,['John Trumbull'],CT,CT,['John Trumbull'],,,,,3696.14,6810.284600000001,0.0,0.0,0.0,0.0,6810.284600000001,1
1294,['John Tyler'],CT,CT,['John Tyler'],['John Tayler'],,['John Tayler'],['John Tyler'],703.69,79.41944000000001,7200.0,0.0,295.9555555555556,227.85,7803.224995555555,4
1295,['John Updike'],RI,SC,,,,,,50.72,0.0,0.0,0.0,0.0,0.0,0.0,0
1296,['John Vaughan'],PA,SC,,,,['John Vaughan'],"['John Vaughn', 'John Vaughan']",333.09,0.0,0.0,0.0,55.0,1622.9099999999999,1677.9099999999999,2
1297,['John Wagner'],PA,PA,,,,,,442.86,0.0,0.0,0.0,0.0,0.0,0.0,0
1298,['John Wagner'],SC,SC,,,,,,132.33,0.0,0.0,0.0,0.0,0.0,0.0,0
1299,['John Waldo'],MA,CT,"['John Waldo Woods', 'John Waldo']",,['John Waldo'],['John Waldo'],,566.91,0.0,0.0,0.0,208.0,0.0,208.0,3
1300,['John Walker'],NC,NC,,,,,,1361.92,0.0,0.0,0.0,0.0,0.0,0.0,0
1301,['John Ward Gilman'],NH,NH,"['John Gilman', 'John Ward Gilman']",,,,,1306.98,828.3554999999999,0.0,0.0,0.0,0.0,828.3554999999999,1
1302,['John Ward'],MD,MD,,['John Ward'],,['John Ward'],['John Ward'],5.16,0.0,36.48889,0.0,38.333333333333336,1175.08,1249.9022233333333,3
1303,['John Ward'],RI,RI,,['John Ward'],,['John Ward'],['John Ward'],4109.95,0.0,36.48889,0.0,38.333333333333336,1175.08,1249.9022233333333,3
1304,['John Ward'],SC,SC,,['John Ward'],,['John Ward'],['John Ward'],319.34,0.0,36.48889,0.0,38.333333333333336,1175.08,1249.9022233333333,3
1305,['John Warner'],CT,CT,['John Warner'],['John Warner'],['John Warner'],['John Warner'],['John Warner'],1012.02,1126.5611,17.433329999999998,16.533333333333335,89.38888888888889,446.31,1696.2266522222221,5
1306,['John Waterman'],RI,RI,,,,,,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0
1307,['John Watkins'],MD,MD,,,,,['John Watkins'],456.66,0.0,0.0,0.0,0.0,29.6,29.6,1
1308,['John Watson'],CT,CT,,['John Watson'],['John Watson'],['John Watson'],['John Watson'],624.42,0.0,25.4875,11.244444444444444,680.1666666666666,471.77,1188.6686111111112,4
1309,['John Webb'],SC,SC,['John Webb Cheehley'],,['John Webb'],['John Webb'],['John Webb'],275.08,0.0,0.0,0.0,95.33333333333333,0.0,95.33333333333333,4
1310,['John Weems'],MD,MD,['John Weems'],,,,,11359.05,3489.73324,0.0,0.0,0.0,0.0,3489.73324,1
1311,['John Welsh'],MD,MD,,['John Welsh'],,,['John Welsh'],1855.6,0.0,332.2667,0.0,0.0,251.29,583.5567,2
1312,['John West'],PA,PA,,['John West'],,"['John West', 'John Van West']",['John West'],3103.56,0.0,48.88889,0.0,932.0,12.86,993.74889,3
1313,['John Weston'],MD,MD,['John Weston'],,,,,1823.17,355.81945,0.0,0.0,0.0,0.0,355.81945,1
