,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,,,
Abraham Bigelow,Abraham,Bigelow,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Billings,Stephen,Billings,CT,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2117.0299999999997,7.0
Elisha Bisbee,Elisha,Bisbee,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Bishop,John,Bishop,PA,no,2900.0,6.0,72.5,6.0,1373.0,10.0,175.0,6.0,0.0,0.0,0.0,0.0,2367.31,20.0
Phan. Bishop,Phan.,Bishop,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bixby,Thomas,Bixby,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bixby,Daniel,Bixby,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Black,John,Black,PA,yes,4900.0,6.0,273.63889,6.0,603.0,6.0,138.0,4.0,0.0,0.0,0.0,0.0,225.53000000000003,4.0
John Black,John,Black,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Black,James,Black,DE,yes,7900.0,9.0,616.08887,9.0,200.0,8.0,319.0,5.0,0.0,0.0,0.0,0.0,137.89999999999998,3.0
Timothy Blair,Timothy,Blair,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Blair,John,Blair,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Blair,John,Blair,Constitution,yes,0.0,0.0,0.0,0.0,139.0,2.0,0,0.0,0.0,0.0,0.0,0.0,3093.8500000000004,18.0
"John Blair, Jun.",John,"Blair, Jun.",VA,yes,0.0,0.0,0.0,0.0,139.0,2.0,0,0.0,0.0,0.0,0.0,0.0,2943.6100000000006,17.0
Edward Blake,Edward,Blake,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3920.49,19.0
John Blake,John,Blake,SC,yes,0.0,0.0,0.0,0.0,827.0,3.0,177,3.0,0.0,0.0,0.0,0.0,687.3399999999999,16.0
Joseph Blanchard,Joseph,Blanchard,NH,yes,1600.0,6.0,50.88889,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,291.98,7.0
Theodorick Bland,Theodorick,Bland,VA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Blaney,Benjamin,Blaney,MA,yes,700.0,2.0,79.71110999999999,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timothy Bloodworth,Timothy,Bloodworth,NC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Blount,William,Blount,Constitution,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Blount,Thomas,Blount,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.2,1.0
Edmund Blount,Edmund,Blount,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Blount,William,Blount,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John G. Blount,John G.,Blount,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Blout,Benjamin,Blout,VA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W. Bodman,W.,Bodman,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Bonds,John,Bonds,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benj. Bonney,Benj.,Bonney,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmund Booker,Edmund,Booker,VA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Absalom Bostwick,Absalom,Bostwick,NC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Lewis Bourquin,John Lewis,Bourquin,SC,no,2800.0,7.0,821.68753,7.0,1827.0,4.0,60,2.0,0.0,0.0,0.0,0.0,342.27,6.0
