,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
Joseph Barker,Joseph,Barker,DE,yes,58.0,1.0,64.0,1.0,29.0,1.0,32.0,1.0,21.0,1.0,12.0,1.0,,,,,,,,,,,,
Richard Barnes,Richard,Barnes,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
Elias Barnes,Elias,Barnes,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Asa Barns,Asa,Barns,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Barnwell,Robert,Barnwell,SC,yes,,,,,,,,,,,,,152.0,1.0,0.3733333333333064,1.0,76.0,1.0,0.1866666666666532,1.0,114.0,1.0,0.2799999999999869,1.0
John Barnwell,John,Barnwell,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Barrell,Nathaniel,Barrell,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Charles Barrett,Charles,Barrett,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Barrington,Anthony,Barrington,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Bartlett,Thomas,Bartlett,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Bartlett,Josiah,Bartlett,NH,yes,398.0,1.0,93.0,1.0,199.0,1.0,46.0,1.0,161.0,1.0,10.0,1.0,,,,,,,,,,,,
Bailey Bartlett,Bailey,Bartlett,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Moses Bascum,Moses,Bascum,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Baskins,Andrew,Baskins,SC,no,,,,,,,,,,,,,86.0,1.0,0.01999999999999602,1.0,43.0,1.0,0.0,1.0,64.0,1.0,0.5,1.0
Richard Bassett,Richard,Bassett,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bassett,Daniel,Bassett,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Richard Bassett,Richard,Bassett,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
Burwell Bassett,Burwell,Bassett,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Baxter,John,Baxter,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Bay,John,Bay,NY,no,,,,,,,,,,,,,,,,,,,,,,,,
William Baylies,William,Baylies,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Beach,John,Beach,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Beach,Samuel,Beach,CT,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,1.0,56.0,1.0,,,,,,,,,,,,
Zachary Beal,Zachary,Beal,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Bean,Nathaniel,Bean,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Bean,Joshua,Bean,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Nehemiah Beardsley,Nehemiah,Beardsley,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Beatty,John,Beatty,NJ,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,1.0,95.0,1.0,,,,,,,,,,,,
