,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
Ja.s Latimer,Ja.s,Latimer,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Latimer,George,Latimer,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Henry Laurens,Henry,Laurens,SC,yes,2185.0,9.0,1032.4133000000002,9.0,1093.0,9.0,516.2033,9.0,2113.0,9.0,1433.54,9.0,35457.0,4.0,0.720000000001022,4.0,17728.0,4.0,0.8400000000001882,4.0,26591.0,4.0,2.249999999999602,4.0
Richard Law,Richard,Law,CT,yes,1739.0,1.0,64.0,1.0,869.0,1.0,82.0,1.0,1248.0,1.0,0.0,0.0,67.0,1.0,87.0,1.0,33.0,1.0,94.0,1.0,50.0,1.0,91.0,1.0
Nathaniel Lawrence,Nathaniel,Lawrence,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Lawrence,Elisha,Lawrence,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Laws,Thomas,Laws,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Laws,John,Laws,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Lawson,Robert,Lawson,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Lawton,Joshua,Lawton,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Edmund Lazell,Edmund,Lazell,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Learned,Jeremiah,Learned,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Learned,Daniel,Learned,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Amasa Learned,Amasa,Learned,CT,yes,266.0,1.0,67.0,1.0,133.0,1.0,33.0,1.0,175.0,1.0,33.0,1.0,,,,,,,,,,,,
Thomas Sim Lee,Thomas Sim,Lee,MD,yes,579.0,3.0,213.0,3.0,289.0,3.0,156.0,3.0,458.0,3.0,122.0,3.0,948.0,2.0,51.0,2.0,473.0,2.0,125.0,2.0,711.0,2.0,38.0,2.0
Henry Lee,Henry,Lee,VA,no,3672.0,1.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Lee,Andrew,Lee,CT,yes,1453.0,1.0,23.0,1.0,726.0,1.0,56.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Isaac Lee,Isaac,Lee,CT,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,24.0,1.0,,,,,,,,,,,,
Henry Lee III,Henry,Lee III,VA,yes,3672.0,1.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Leech,Joseph,Leech,NC,yes,,,,,,,,,,,,,85.0,1.0,6.0,1.0,42.0,1.0,53.0,1.0,63.0,1.0,80.0,1.0
Peter Lefferts,Peter,Lefferts,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Legare,Thomas,Legare,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Lenoir,William,Lenoir,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Leonard,Nathaniel,Leonard,MA,yes,59.0,1.0,7.0,1.0,29.0,1.0,53.0,1.0,713.0,4.0,206.0,4.0,0.0,0.0,0.0,0.0,964.0,1.0,66.0,1.0,1446.0,1.0,97.0,1.0
Lewis Lestergette,Lewis,Lestergette,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Ballou Levi,Ballou,Levi,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Warner Lewis,Warner,Lewis,VA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1.0,17.0,1.0,2068.0,1.0,17.0,1.0,1034.0,1.0,9.0,1.0,1551.0,1.0,14.0,1.0
Richard Lewis,Richard,Lewis,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Lewis,Thomas,Lewis,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Lightwood,John,Lightwood,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Edward Lightwood,Edward,Lightwood,SC,yes,20.0,1.0,45.0,1.0,10.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,790.0,1.0,0.01999999999998181,1.0,395.0,1.0,0.0,1.0,592.0,1.0,0.5099999999999909,1.0
Abraham Lincoln,Abraham,Lincoln,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
James Lincoln,James,Lincoln,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Lincoln,Benjamin,Lincoln,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Lindsey,John,Lindsey,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Linton,John,Linton,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Carter Littlepage,John Carter,Littlepage,VA,no,191.0,1.0,0.0,0.0,95.0,1.0,50.0,1.0,97.0,1.0,80.0,1.0,6.0,1.0,86.0,1.0,3.0,1.0,43.0,1.0,5.0,1.0,14.0,1.0
Samuel Livermore,Samuel,Livermore,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Philip Livingston,Philip,Livingston,NY,yes,1200.0,1.0,0.0,1.0,600.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,213784.0,8.0,128.0,8.0,35292.0,8.0,64.0,8.0,50336.0,8.0,296.0,8.0
Robert R. Livingston,Robert R.,Livingston,NY,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,2.0,41.0,2.0,586.0,2.0,76.0,2.0,0.0,0.0,0.0,0.0,3910.0,2.0,60.0,2.0
William Livingston,William,Livingston,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Livingston,Gilbert,Livingston,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Lloyd,John,Lloyd,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,78.0,1.0,1750.0,1.0,0.7300000000000182,1.0,875.0,1.0,0.36000000000001364,1.0,1313.0,1.0,0.03999999999996362,1.0
Edward Lloyd,Edward,Lloyd,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lock,Matthew,Lock,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Logan,John,Logan,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Lunsford Long,Lunsford,Long,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Pierse Long,Pierse,Long,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
S. Longfellow,S.,Longfellow,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
William E. Lord,William E.,Lord,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Love,Andrew,Love,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Love,John,Love,MD,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Love,Robert,Love,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Edward Lovell,Edward,Lovell,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Low,John,Low,MA,yes,18.0,2.0,138.0,2.0,8.0,2.0,168.0,2.0,194.0,2.0,48.0,1.0,1509.0,2.0,130.0,2.0,754.0,2.0,114.0,2.0,1131.0,2.0,170.0,2.0
Nicholas Low,Nicholas,Low,NY,yes,17986618.0,3313.0,102186.0,3313.0,11752205.0,3313.0,163978.0,3313.0,5818544.0,3313.0,167070.0,3313.0,3924975.0,842.0,62161.62666666666,842.0,2914963.0,842.0,36121.31333333333,842.0,3790171.0,842.0,37941.47,842.0
Nathaniel Low,Nathaniel,Low,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Lowrey,Samuel,Lowrey,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Lowry,John,Lowry,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Ludwig,John,Ludwig,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Lurvey,Benjamin,Lurvey,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Richard Lushington,Richard,Lushington,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
T. Lusk,T.,Lusk,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Lutz,Nicholas,Lutz,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
William M'Cobb,William,M'Cobb,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert M'Cune,Robert,M'Cune,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Duncan M'Farland,Duncan,M'Farland,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Ezra M'Intier,Ezra,M'Intier,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
William M'Intosh,William,M'Intosh,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas M'Kean,Thomas,M'Kean,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph M'Lellen,Joseph,M'Lellen,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Donald MacIntosh,Donald,MacIntosh,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
William MacLaine,William,MacLaine,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
To. Macpherson,To.,Macpherson,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Madison Jr.,James,Madison Jr.,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
"James Madison, Jun.",James,"Madison, Jun.",VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hezekiah Maham,Hezekiah,Maham,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Maine,James,Maine,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
"Lewis Mallet, Jun.",Lewis,"Mallet, Jun.",CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Man,Thomas,Man,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Manigault,Gabriel,Manigault,SC,yes,,,,,,,,,,,,,16271.0,1.0,0.5,1.0,26959.0,9.0,688.7399999999998,9.0,36609.0,9.0,124.6200000000008,9.0
George Manlove,George,Manlove,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
Richard Manning,Richard,Manning,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Manning ,Benjamin,Manning ,NJ,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,44.0,1.0,,,,,,,,,,,,
Isaac Mansfield,Isaac,Mansfield,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
E. March,E.,March,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Mare,John,Mare,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William S. Marnes,William S.,Marnes,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Marr,John,Marr,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Marsh,Nathaniel,Marsh,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Marshall,John,Marshall,VA,yes,,,,,,,,,,,,,3174.0,1.0,33.0,1.0,1587.0,1.0,16.0,1.0,2380.0,1.0,75.0,1.0
Humphrey Marshall,Humphrey,Marshall,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Marshall,James,Marshall,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
William Martin,William,Martin,NC,no,1519.0,1.0,56.0,1.0,759.0,1.0,79.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
James Martin,James,Martin,MD,yes,,,,,,,,,,,,,6275.0,2.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmond Martin,Edmond,Martin,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Martin,Joseph,Martin,NC,yes,1122.0,18.0,780.0,18.0,552.0,18.0,1278.0,18.0,1638.0,18.0,468.0,18.0,920.0,1.0,18.0,1.0,460.0,1.0,9.0,1.0,690.0,1.0,13.0,1.0
Luther Martin,Luther,Martin,MD,no,1954.0,3.0,251.0,3.0,976.0,3.0,225.0,3.0,1622.0,3.0,149.0,2.0,,,,,,,,,,,,
Luther Martin,Luther,Martin,Constitution,no,1954.0,3.0,251.0,3.0,976.0,3.0,225.0,3.0,1622.0,3.0,149.0,2.0,,,,,,,,,,,,
James Martin,James,Martin,SC,no,,,,,,,,,,,,,6275.0,2.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Martin,Alexander,Martin,Constitution,no,,,,,,,,,,,,,,,,,,,,,,,,
James Martin,James,Martin,PA,no,,,,,,,,,,,,,6275.0,2.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elihu Marvin,Elihu,Marvin,CT,no,128.0,1.0,65.0,1.0,64.0,1.0,33.0,1.0,134.0,1.0,60.0,1.0,,,,,,,,,,,,
William Mason,William,Mason,VA,yes,6226.0,28.0,1135.0,28.0,3104.0,28.0,1486.0,28.0,4911.0,28.0,1568.0,28.0,2440.0,8.0,616.0,8.0,1220.0,8.0,712.0,8.0,1836.0,8.0,468.0,8.0
Stevens Thomson Mason,Stevens Thomson,Mason,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Mason,Christopher,Mason,MA,no,68.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,27.0,1.0,65.0,1.0,,,,,,,,,,,,
Timothy Mason,Timothy,Mason,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
George Mason,George,Mason,Constitution,no,5481.0,9.0,261.0,9.0,909.0,9.0,495.0,9.0,1473.0,9.0,378.0,6.0,,,,,,,,,,,,
Samuel Mason,Samuel,Mason,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Mason,George,Mason,VA,no,5481.0,9.0,261.0,9.0,909.0,9.0,495.0,9.0,1473.0,9.0,378.0,6.0,,,,,,,,,,,,
William Massey,William,Massey,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
George Matthews,George,Matthews,GA,yes,833.0,1.0,90.0,1.0,416.0,1.0,95.0,1.0,565.0,1.0,24.0,1.0,5189.0,1.0,27.0,1.0,2594.0,1.0,64.0,1.0,3891.0,1.0,96.0,1.0
John Matthews,John,Matthews,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Musentine Matthews,Musentine,Matthews,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Matthews,Thomas,Matthews,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
T. Maxwell,T.,Maxwell,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Maxwell,Solomon,Maxwell,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Maxwell,James,Maxwell,GA,yes,152.0,1.0,92.0,1.0,76.0,1.0,46.0,1.0,116.0,1.0,92.0,1.0,1783.0,1.0,99.0,1.0,891.0,1.0,99.0,1.0,1337.0,1.0,99.0,1.0
Pleasant May,Pleasant,May,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Elisha May,Elisha,May,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Mayhew,William,Mayhew,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Maynard,Malachi,Maynard,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
S. Maynard,S.,Maynard,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Mayo,Nathan,Mayo,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Mayrant,John,Mayrant,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William McCaleb,William,McCaleb,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William McClerry,William,McClerry,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James McClurg,James,McClurg,Constitution,no,17168.0,8.0,356.0,8.0,8580.0,8.0,580.0,8.0,4632.0,8.0,412.0,8.0,11919.0,1.0,78.0,1.0,5959.0,1.0,89.0,1.0,8939.0,1.0,84.0,1.0
Charles McDowall,Charles,McDowall,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph McDowall,Joseph,McDowall,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Joseph McDowall Jun.,Joseph,McDowall Jun.,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Martin McFerran,Martin,McFerran,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John McGaw,John,McGaw,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
James McHenry,James,McHenry,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
James McHenry,James,McHenry,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
William McKee,William,McKee,VA,yes,384.0,1.0,63.0,1.0,192.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Richard McKinnie,Richard,McKinnie,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Allen McLane,Allen,McLane,DE,yes,0.0,0.0,0.0,0.0,1257.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Neill McLeod,Neill,McLeod,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Archibald McMurphy,Archibald,McMurphy,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
James McNeil,James,McNeil,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John McPherson,John,McPherson,SC,yes,,,,,,,,,,,,,109.0,2.0,94.22,2.0,54.0,2.0,48.6,2.0,81.0,2.0,71.9,2.0
Amos Mead,Amos,Mead,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Mebane,Alexander,Mebane,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Adam Meck,Adam,Meck,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Menees,Benjamin,Menees,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Francis Mercer,John Francis,Mercer,MD,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2412.0,1.0,15.0,1.0,,,,,,,,,,,,
John F. Mercer,John F.,Mercer,Constitution,no,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6144.0,1.0,68.0,1.0
Aaron Merrick,Aaron,Merrick,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Phineas Merrick,Phineas,Merrick,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Merrill,Samuel,Merrill,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Meyer,William,Meyer,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Michaux,Joseph,Michaux,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
R. Middleton,R.,Middleton,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Mifflin,Thomas,Mifflin,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Mighill,Thomas,Mighill,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Ephraim Mikell,Ephraim,Mikell,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Miles,Daniel,Miles,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Miles,Lewis,Miles,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Miles,William,Miles,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Miller,John,Miller,VA,no,1600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Simeon Miller,Simeon,Miller,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Asher Miller,Asher,Miller,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Miller,John,Miller,SC,yes,1600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Elisha Mills,Elisha,Mills,CT,yes,15832.0,8.0,336.0,8.0,7912.0,8.0,568.0,8.0,17444.0,8.0,192.0,8.0,32016.0,64.0,5392.0,64.0,16000.0,64.0,3520.0,64.0,24016.0,64.0,3664.0,64.0
J. Milton,J.,Milton,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Minor,Nathaniel,Minor,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Minot,John,Minot,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Mitchell,Elijah,Mitchell,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
D. Mitchell,D.,Mitchell,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Mitchell,Elisha,Mitchell,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Mix Mitchell,Stephen Mix,Mitchell,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Mitchell,George,Mitchell,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Monroe,James,Monroe,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Montgomery,John,Montgomery,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Montgomery,John,Montgomery,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Montgomery,Robert,Montgomery,NC,yes,2565.0,1.0,62.0,1.0,1282.0,1.0,82.0,1.0,143.0,1.0,88.0,1.0,,,,,,,,,,,,
James Montgomery,James,Montgomery,VA,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,50.0,1.0,,,,,,,,,,,,
Amos Moody,Amos,Moody,NH,yes,64.0,1.0,17.0,1.0,32.0,1.0,8.0,1.0,32.0,1.0,71.0,1.0,,,,,,,,,,,,
John Moore,John,Moore,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Moore,Andrew,Moore,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Moore,James,Moore,NC,no,61.0,2.0,35.0,2.0,30.0,2.0,77.0,2.0,30.0,1.0,73.0,1.0,,,,,,,,,,,,
William Moore,William,Moore,DE,yes,,,,,,,,,,,,,2726.0,1.0,99.0,1.0,1363.0,1.0,50.0,1.0,2045.0,1.0,93.0,1.0
Burwell Mooring,Burwell,Mooring,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Abner Morgan,Abner,Morgan,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Theophilus Morgan,Theophilus,Morgan,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Morrall,Daniel,Morrall,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Gouverneur Morris,Gouverneur,Morris,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Morris,James,Morris,PA,yes,4954.0,1.0,57.0,1.0,2477.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Lewis Morris,Lewis,Morris,SC,yes,0.0,0.0,0.0,0.0,2500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4121.0,1.0,0.6700000000000728,1.0,2060.0,1.0,0.8299999999999272,1.0,3091.0,1.0,0.23999999999978172,1.0
Robert Morris,Robert,Morris,Constitution,yes,35845.0,26.0,1075.0,26.0,15420.0,25.0,1375.0,25.0,400.0,4.0,139.0,4.0,1767.0,1.0,0.8755555555553656,1.0,883.0,1.0,0.9377777777776828,1.0,1325.0,1.0,0.9066666666665242,1.0
Lewis Morris,Lewis,Morris,NY,yes,0.0,0.0,0.0,0.0,2500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4121.0,1.0,0.6700000000000728,1.0,2060.0,1.0,0.8299999999999272,1.0,3091.0,1.0,0.23999999999978172,1.0
William Morris,William,Morris,MD,yes,1212.0,8.0,232.0,4.0,600.0,8.0,712.0,8.0,740.0,8.0,0.0,0.0,2165.0,1.0,27.0,1.0,1082.0,1.0,64.0,1.0,1623.0,1.0,96.0,1.0
Richard Morris,Richard,Morris,NY,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Morse,Benjamin,Morse,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Morse,Jonas,Morse,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Morss,Joshua,Morss,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Mosely,Joseph,Mosely,CT,yes,262.0,1.0,35.0,1.0,131.0,1.0,17.0,1.0,87.0,1.0,38.0,1.0,448.0,1.0,17.0,1.0,224.0,1.0,9.0,1.0,336.0,1.0,12.0,1.0
Isaac Motte,Isaac,Motte,SC,yes,53.0,1.0,74.0,1.0,26.0,1.0,87.0,1.0,32.0,1.0,24.0,1.0,6492.0,2.0,0.8600000000000136,2.0,3245.0,2.0,1.4199999999997885,2.0,4869.0,2.0,0.6399999999998727,2.0
William Moultrie,William,Moultrie,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
James C. Mountflorence,James C.,Mountflorence,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Frederick A. Muhlenberg,Frederick A.,Muhlenberg,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Richard Muncreef,Richard,Muncreef,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hardy Murfee,Hardy,Murfee,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Murray,David,Murray,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
William Nall,William,Nall,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
William Nash,William,Nash,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Ebenezer Nash,Ebenezer,Nash,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Nason,Samuel,Nason,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Miller Nathan,Miller,Nathan,RI,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
Bates Nathan,Bates,Nathan,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
James Neal,James,Neal,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Neilson,John,Neilson,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Nesbitt,David,Nesbitt,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Nesbitt (Nisbet),John,Nesbitt (Nisbet),NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Nevill,John,Nevill,PA,yes,,,,,,,,,,,,,1945.0,1.0,73.0,1.0,972.0,1.0,86.0,1.0,1459.0,1.0,29.0,1.0
Roger Newberry,Roger,Newberry,CT,yes,71.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,46.0,1.0,175.0,1.0,82.0,1.0,87.0,1.0,91.0,1.0,131.0,1.0,87.0,1.0
Seth Newton,Seth,Newton,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Newton,Samuel,Newton,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Carr Nicholas,Carr,Nicholas,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Nicolas,George,Nicolas,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
