,Occupations,6p_Total,count,cert_count,Average (6p),6p_Total_pct,count_pct,cert_count_avg
8,"attorney, esquire",2095.0,2,2,1047.5,0.05255708306562551,0.12779552715654952,1.0
72,goldsmith,2083.0,4,4,520.75,0.05225604010773171,0.25559105431309903,1.0
95,"merchant, blacksmith",2061.0,1,1,2061.0,0.05170412801825975,0.06389776357827476,1.0
128,rigger,2061.0,1,1,2061.0,0.05170412801825975,0.06389776357827476,1.0
77,hatter,2020.0,3,4,673.3333333333334,0.05067556457878928,0.19169329073482427,1.3333333333333333
91,mason,2000.0,1,3,2000.0,0.05017382631563295,0.06389776357827476,3.0
82,joiner,1774.0,2,3,887.0,0.044504183941966424,0.12779552715654952,1.5
109,"merchant, treasurer",1635.0,1,3,1635.0,0.04101710301302993,0.06389776357827476,3.0
40,deceased,1624.0,1,1,1624.0,0.04074114696829396,0.06389776357827476,1.0
43,"doctor, reverend",1598.0,1,4,1598.0,0.04008888722619072,0.06389776357827476,4.0
71,glazier,1525.0,1,1,1525.0,0.03825754256567012,0.06389776357827476,1.0
48,"esquire, trader",1387.0,1,2,1387.0,0.03479554854989145,0.06389776357827476,2.0
10,"attorney, planter",1373.0,1,2,1373.0,0.03444433176568202,0.06389776357827476,2.0
11,auctioneer,1213.0,2,4,606.5,0.030430425660431384,0.12779552715654952,2.0
6,"assignee, physician",1161.0,1,2,1161.0,0.029125906176224927,0.06389776357827476,2.0
121,post master,1150.0,2,3,575.0,0.028849950131488944,0.12779552715654952,1.5
136,"shopkeeper, executor",1146.0,1,1,1146.0,0.02874960247885768,0.06389776357827476,1.0
41,distiller,1132.0,3,3,377.3333333333333,0.02839838569464825,0.19169329073482427,1.0
89,leather dresser,1099.0,1,1,1099.0,0.027570517560440305,0.06389776357827476,1.0
61,"farmer, treasurer",1000.0,1,2,1000.0,0.025086913157816474,0.06389776357827476,2.0
31,committee member,905.0,2,2,452.5,0.02270365640782391,0.12779552715654952,1.0
73,grocer,892.0,1,1,892.0,0.022377526536772295,0.06389776357827476,1.0
15,boardinghouse keeper,876.0,2,2,438.0,0.021976135926247232,0.12779552715654952,1.0
119,"planter, executor",872.0,1,4,872.0,0.021875788273615963,0.06389776357827476,4.0
58,"farmer, administrator",864.0,1,3,864.0,0.021675092968353432,0.06389776357827476,3.0
30,coach maker,860.0,1,1,860.0,0.021574745315722166,0.06389776357827476,1.0
69,"gentlewoman, spinster",842.0,1,1,842.0,0.021123180878881473,0.06389776357827476,1.0
67,"gentlewoman, administrator",832.0,1,1,832.0,0.020872311747303304,0.06389776357827476,1.0
117,plaistr,783.0,1,1,783.0,0.0196430530025703,0.06389776357827476,1.0
149,"treasurer, executor",782.0,1,4,782.0,0.01961796608941248,0.06389776357827476,4.0
124,"professor, executor",757.0,1,1,757.0,0.01899079326046707,0.06389776357827476,1.0
126,receiver general of land office,719.0,1,1,719.0,0.018037490560470045,0.06389776357827476,1.0
106,"merchant, shoemaker",703.0,1,1,703.0,0.017636099949944983,0.06389776357827476,1.0
60,"farmer, school master",671.0,1,2,671.0,0.016833318728894854,0.06389776357827476,2.0
3,"administrator, planter",596.0,1,2,596.0,0.014951800242058617,0.06389776357827476,2.0
125,proprietors,549.0,1,1,549.0,0.013772715323641244,0.06389776357827476,1.0
152,vendue master,535.2,1,2,535.2,0.013426515922063377,0.06389776357827476,2.0
37,"cordwainer, shoemaker",508.0,1,1,508.0,0.012744151884170768,0.06389776357827476,1.0
78,housewright,499.0,1,1,499.0,0.012518369665750421,0.06389776357827476,1.0
23,"cashier, broker",488.0,1,5,488.0,0.012242413621014438,0.06389776357827476,5.0
59,"farmer, esquire",469.0,1,1,469.0,0.011765762271015926,0.06389776357827476,1.0
44,doorkeeper,429.0,1,1,429.0,0.010762285744703266,0.06389776357827476,1.0
111,miller,428.0,2,2,214.0,0.01073719883154545,0.12779552715654952,1.0
113,molster,423.0,1,1,423.0,0.010611764265756368,0.06389776357827476,1.0
62,frederick,409.0,1,1,409.0,0.010260547481546938,0.06389776357827476,1.0
120,plasterer,400.0,1,1,400.0,0.01003476526312659,0.06389776357827476,1.0
85,labourer,372.0,2,2,186.0,0.009332331694707728,0.12779552715654952,1.0
9,"attorney, executor",300.0,1,2,300.0,0.007526073947344942,0.06389776357827476,2.0
155,wife,240.0,1,1,240.0,0.0060208591578759536,0.06389776357827476,1.0
32,comtroller,240.0,1,1,240.0,0.0060208591578759536,0.06389776357827476,1.0
34,conveyancer,222.0,1,1,222.0,0.005569294721035257,0.06389776357827476,1.0
150,"treasurer, school master",216.0,1,2,216.0,0.005418773242088358,0.06389776357827476,2.0
24,chaise maker,205.0,1,1,205.0,0.005142817197352377,0.06389776357827476,1.0
141,soldier,190.0,1,1,190.0,0.0047665134999851306,0.06389776357827476,1.0
29,clothier,179.0,1,1,179.0,0.004490557455249148,0.06389776357827476,1.0
4,apothecary,168.0,1,1,168.0,0.004214601410513167,0.06389776357827476,1.0
137,"shopkeeper, shop keeper",166.0,1,1,166.0,0.004164427584197535,0.06389776357827476,1.0
115,painter,164.0,1,1,164.0,0.004114253757881902,0.06389776357827476,1.0
17,bricklayer,158.0,1,1,158.0,0.003963732278935003,0.06389776357827476,1.0
50,"esquire, trustee",95.0,1,1,95.0,0.0023832567499925653,0.06389776357827476,1.0
39,deacon,76.0,1,1,76.0,0.001906605399994052,0.06389776357827476,1.0
76,hair dresser,75.0,1,1,75.0,0.0018815184868362356,0.06389776357827476,1.0
153,weaver,72.0,1,1,72.0,0.001806257747362786,0.06389776357827476,1.0
