,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,county,name_type,6p_total
2142,206.0,75.0,103.0,38.0,55.0,82.0,Philadelphia,PA,Merchant,Philadelphia County,town,206.75
2143,179.0,71.0,89.0,86.0,142.0,96.0,Philadelphia,PA,,Philadelphia County,town,179.71
2144,251.0,2.0,125.0,51.0,138.0,45.0,Philadelphia,PA,,Philadelphia County,town,251.02
2145,6005.0,2.0,3002.0,50.0,1621.0,35.0,Philadelphia,PA,Merchant,Philadelphia County,town,6005.02
2146,198.0,5.0,99.0,2.0,164.0,43.0,Philadelphia,PA,,Philadelphia County,town,198.05
2147,4065.0,1.0,2032.0,50.0,2711.0,20.0,Massachusetts,MA,Merchant,,state,4065.01
2148,3698.0,96.0,1849.0,48.0,1321.0,72.0,Philadelphia,PA,Merchant,Philadelphia County,town,3698.96
2149,5333.0,33.0,2666.0,67.0,3142.0,66.0,Philadelphia,PA,Merchant Executer to the Estate of John Schweig Hauser deceased,Philadelphia County,town,5333.33
2150,3676.0,44.0,1838.0,22.0,2106.0,11.0,New Jersey,NJ,,,state,3676.44
2151,4238.0,9.0,2119.0,4.0,2685.0,61.0,Philadelphia,PA,Merchant,Philadelphia County,town,4238.09
2152,4333.0,33.0,2166.0,67.0,2074.0,74.0,,,,,other,4333.33
2153,4716.0,4.0,2358.0,2.0,1381.0,2.0,Philadelphia,PA,Druggist,Philadelphia County,town,4716.04
2154,1944.0,38.0,972.0,19.0,1141.0,38.0,Philadelphia,PA,,Philadelphia County,town,1944.38
2155,671.0,70.0,335.0,84.0,586.0,48.0,Philadelphia,PA,Merchant,Philadelphia County,town,671.7
2156,337.0,11.0,168.0,55.0,236.0,68.0,Philadelphia,PA,,Philadelphia County,town,337.11
2157,286.0,92.0,143.0,45.0,218.0,14.0,Philadelphia,PA,,Philadelphia County,town,286.92
2158,798.0,49.0,399.0,24.0,283.0,77.0,Philadelphia,PA,,Philadelphia County,town,798.49
2159,1029.0,7.0,514.0,54.0,584.0,43.0,Philadelphia,PA,Merchant,Philadelphia County,town,1029.07
2160,1536.0,91.0,768.0,46.0,568.0,53.0,Philadelphia,PA,Merchant,Philadelphia County,town,1536.91
2161,1524.0,,762.0,1.0,411.0,47.0,Philadelphia,PA,Merchant,Philadelphia County,town,
2162,88.0,55.0,44.0,28.0,13.0,68.0,Philadelphia,PA,,Philadelphia County,town,88.55
2163,787.0,22.0,393.0,60.0,212.0,54.0,Philadelphia,PA,,Philadelphia County,town,787.22
2164,3908.0,,1954.0,,2594.0,14.0,Philadelphia,PA,,Philadelphia County,town,
2165,2623.0,70.0,1311.0,85.0,708.0,40.0,Philadelphia,PA,Merchant,Philadelphia County,town,2623.7
2166,3185.0,52.0,1592.0,76.0,1051.0,65.0,,,,,other,3185.52
2167,393.0,95.0,196.0,97.0,106.0,36.0,,,Executor,,other,393.95
2168,6951.0,55.0,3475.0,77.0,4664.0,50.0,,,,,other,6951.55
2169,2837.0,33.0,1418.0,67.0,1473.0,60.0,,,,,other,2837.33
2170,1567.0,75.0,783.0,87.0,923.0,71.0,,,,,other,1567.75
2171,368.0,53.0,184.0,27.0,749.0,75.0,,,,,other,368.53
2172,507.0,22.0,253.0,61.0,362.0,30.0,Reading Pennsylvania,PA,,,state,507.22
2173,974.0,48.0,487.0,24.0,666.0,84.0,Tulpehocken,PA,Yeoman,,other,974.48
2174,161.0,58.0,80.0,79.0,110.0,70.0,Tulpehocken,PA,Yeoman,,other,161.58
2175,2046.0,84.0,1023.0,42.0,1296.0,8.0,Philadelphia,PA,Hatter,Philadelphia County,town,2046.84
2176,226.0,39.0,113.0,19.0,61.0,12.0,,VA,,,state,226.39
2177,712.0,87.0,356.0,43.0,1000.0,,Philadelphia,PA,,Philadelphia County,town,712.87
2178,77.0,91.0,38.0,95.0,78.0,65.0,,,,,other,77.91
2179,93.0,2.0,46.0,51.0,45.0,11.0,,,,,other,93.02
2180,1330.0,73.0,665.0,37.0,449.0,96.0,,,,,other,1330.73
2181,2500.0,98.0,1250.0,49.0,1766.0,64.0,Philadelphia,PA,,Philadelphia County,town,2500.98
2182,168.0,49.0,84.0,25.0,64.0,2.0,,,,,other,168.49
2183,2694.0,30.0,1347.0,15.0,1153.0,91.0,Philadelphia,PA,Merchant,Philadelphia County,town,2694.3
2184,2905.0,96.0,1452.0,98.0,784.0,60.0,Philadelphia,PA,Merchant,Philadelphia County,town,2905.96
2185,147.0,38.0,73.0,69.0,64.0,51.0,Philadelphia,PA,Merchant,Philadelphia County,town,147.38
2186,97.0,95.0,48.0,98.0,43.0,91.0,Philadelphia,PA,,Philadelphia County,town,97.95
2187,655.0,13.0,327.0,57.0,307.0,3.0,,,,,other,655.13
2188,71.0,93.0,35.0,96.0,6.0,11.0,,,,,other,71.93
2189,440.0,2.0,220.0,1.0,158.0,80.0,Chester County,PA,,Chester County,county,440.02
2190,1763.0,,881.0,50.0,476.0,,Philadelphia,PA,Merchant,Philadelphia County,town,
2191,4271.0,21.0,2135.0,61.0,1476.0,,Philadelphia,PA,Merchant,Philadelphia County,town,4271.21
2192,4000.0,,2000.0,,1080.0,,Philadelphia,PA,Shopkeeper,Philadelphia County,town,
2193,337.0,67.0,168.0,83.0,96.0,66.0,,,,,other,337.67
2194,3068.0,87.0,1534.0,43.0,828.0,58.0,Philadelphia,PA,Merchant,Philadelphia County,town,3068.87
2195,5662.0,22.0,2831.0,10.0,1528.0,80.0,Philadelphia,PA,Merchant,Philadelphia County,town,5662.22
2196,711.0,22.0,355.0,61.0,192.0,2.0,Philadelphia,PA,,Philadelphia County,town,711.22
2197,1618.0,,809.0,,436.0,85.0,,,Executer to Lawrence Keane Deceased,,other,
2198,9473.0,3.0,4736.0,51.0,2899.0,70.0,Philadelphia,PA,Merchant,Philadelphia County,town,9473.03
2199,154.0,49.0,77.0,24.0,95.0,70.0,Philadelphia,PA,,Philadelphia County,town,154.49
2200,1233.0,76.0,616.0,88.0,333.0,11.0,Philadelphia,PA,,Philadelphia County,town,1233.76
2201,99.0,45.0,49.0,72.0,73.0,22.0,Philadelphia,PA,,Philadelphia County,town,99.45
2202,182.0,47.0,91.0,24.0,49.0,26.0,,,,,other,182.47
2203,321.0,27.0,160.0,63.0,203.0,21.0,,PA,,,state,321.27
2204,1369.0,45.0,684.0,72.0,642.0,3.0,Philadelphia,PA,,Philadelphia County,town,1369.45
2205,142.0,48.0,71.0,24.0,81.0,2.0,Philadelphia,PA,Broker,Philadelphia County,town,142.48
2206,647.0,9.0,323.0,54.0,206.0,23.0,Connecticutt,CT,Doctor,,state,647.09
2207,620.0,92.0,310.0,46.0,214.0,64.0,,,,,other,620.92
2208,1428.0,5.0,714.0,3.0,451.0,2.0,,,,,other,1428.05
2209,94.0,60.0,47.0,30.0,84.0,95.0,Philadelphia,PA,,Philadelphia County,town,94.6
2210,151.0,4.0,75.0,52.0,100.0,17.0,Maryland,MD,,,state,151.04
2211,989.0,87.0,494.0,93.0,458.0,82.0,Armstrong,PA,,,other,989.87
2212,2135.0,10.0,1067.0,55.0,576.0,47.0,Philadelphia,PA,Merchant,Philadelphia County,town,2135.1
2213,80.0,44.0,40.0,22.0,51.0,81.0,Philadelphia,PA,,Philadelphia County,town,80.44
2214,,,,,1000.0,,,,,,other,
2215,89.0,25.0,44.0,63.0,,,Philadelphia,PA,Merchant,Philadelphia County,town,89.25
2216,3463.0,20.0,1731.0,61.0,1055.0,24.0,Philadelphia,PA,,Philadelphia County,town,3463.2
2217,2618.0,2.0,1309.0,1.0,706.0,85.0,Bucks County Pennsylvania,PA,,,state,2618.02
2218,1333.0,33.0,666.0,67.0,230.0,30.0,Philadelphia,PA,Merchant,Philadelphia County,town,1333.33
2219,1600.0,,800.0,,360.0,,Philadelphia,PA,Merchant,Philadelphia County,town,
2220,150.0,,75.0,,40.0,50.0,Philadelphia,PA,Estate John Benezet Deceased,Philadelphia County,town,
2221,2267.0,50.0,1133.0,75.0,432.0,,Philadelphia,PA,Guardian to Maria Benezet,Philadelphia County,town,2267.5
2222,1603.0,57.0,801.0,78.0,1005.0,47.0,Philadelphia,PA,Merchant,Philadelphia County,town,1603.57
2223,2234.0,35.0,1117.0,18.0,1462.0,50.0,Philadelphia,PA,Merchant,Philadelphia County,town,2234.35
2224,1843.0,71.0,921.0,85.0,497.0,80.0,,,,,other,1843.71
2225,4608.0,67.0,2304.0,33.0,1244.0,33.0,Philadelphia,PA,Merchant,Philadelphia County,town,4608.67
2226,1275.0,97.0,637.0,99.0,533.0,32.0,Philadelphia,PA,Merchant,Philadelphia County,town,1275.97
2227,2227.0,13.0,1113.0,57.0,1808.0,41.0,Philadelphia,PA,,Philadelphia County,town,2227.13
2228,846.0,23.0,423.0,12.0,612.0,22.0,Philadelphia,PA,for Christopher Mary and Charity Pyrleus,Philadelphia County,town,846.23
2229,1097.0,22.0,548.0,61.0,336.0,37.0,Philadelphia,PA,,Philadelphia County,town,1097.22
2230,417.0,12.0,208.0,56.0,185.0,44.0,Bucks County,PA,,,other,417.12
2231,3268.0,22.0,1634.0,11.0,882.0,41.0,Philadelphia,PA,Broker,Philadelphia County,town,3268.22
2232,743.0,74.0,371.0,87.0,605.0,61.0,Philadelphia,PA,,Philadelphia County,town,743.74
2233,569.0,44.0,284.0,72.0,401.0,94.0,Philadelphia,PA,,Philadelphia County,town,569.44
2234,213.0,89.0,106.0,95.0,57.0,74.0,,,,,other,213.89
2235,438.0,41.0,219.0,21.0,118.0,35.0,Philadelphia,PA,,Philadelphia County,town,438.41
2236,23.0,21.0,11.0,60.0,6.0,25.0,Germantown,PA,,,other,23.21
2237,1025.0,44.0,512.0,72.0,383.0,81.0,Philadelphia,PA,,Philadelphia County,town,1025.44
2238,3251.0,57.0,1625.0,78.0,877.0,92.0,Philadelphia,PA,,Philadelphia County,town,3251.57
2239,1641.0,51.0,820.0,75.0,443.0,19.0,Philadelphia,PA,,Philadelphia County,town,1641.51
2240,5479.0,54.0,2739.0,77.0,1497.0,88.0,Philadelphia,PA,Merchant,Philadelphia County,town,5479.54
2241,120.0,20.0,60.0,10.0,,,,,,,other,120.2
2242,1166.0,40.0,583.0,20.0,636.0,47.0,Philadelphia,PA,,Philadelphia County,town,1166.4
2243,1462.0,31.0,731.0,15.0,666.0,18.0,Philadelphia,PA,,Philadelphia County,town,1462.31
2244,1015.0,67.0,507.0,84.0,689.0,50.0,Philadelphia,PA,Marchant,Philadelphia County,town,1015.67
2245,1295.0,29.0,647.0,64.0,349.0,72.0,,,,,other,1295.29
2246,3143.0,81.0,1571.0,90.0,1527.0,38.0,Philadelphia,PA,,Philadelphia County,town,3143.81
2247,,,,,41.0,37.0,,,,,other,
2248,2222.0,9.0,1111.0,5.0,599.0,93.0,Philadelphia,PA,Merchant,Philadelphia County,town,2222.09
2249,631.0,57.0,315.0,78.0,201.0,45.0,Philadelphia,PA,Merchant,Philadelphia County,town,631.57
2250,1600.0,,800.0,,1119.0,60.0,,,,,other,
2251,1331.0,10.0,665.0,55.0,359.0,40.0,Philadelphia,PA,Merchant,Philadelphia County,town,1331.1
2252,615.0,2.0,307.0,51.0,519.0,68.0,Philadelphia,PA,Merchant,Philadelphia County,town,615.02
2253,2234.0,24.0,1117.0,12.0,603.0,23.0,Philadelphia,PA,,Philadelphia County,town,2234.24
2254,431.0,5.0,215.0,52.0,369.0,80.0,Philadelphia,PA,Merchant,Philadelphia County,town,431.05
2255,58.0,47.0,29.0,23.0,52.0,80.0,Philadelphia County,PA,,,other,58.47
2256,2937.0,70.0,1468.0,85.0,800.0,,,,,,other,2937.7
2257,7017.0,16.0,3508.0,58.0,4110.0,67.0,Philadelphia,PA,,Philadelphia County,town,7017.16
2258,8518.0,80.0,4259.0,40.0,5569.0,56.0,Philadelphia,PA,Merchant,Philadelphia County,town,8518.8
2259,18.0,21.0,9.0,11.0,16.0,37.0,,,,,other,18.21
2260,843.0,55.0,421.0,78.0,668.0,6.0,Philadelphia,PA,Merchant,Philadelphia County,town,843.55
2261,530.0,39.0,265.0,19.0,143.0,20.0,Philadelphia,PA,Merchant,Philadelphia County,town,530.39
2262,2962.0,16.0,1481.0,7.0,988.0,18.0,Philadelphia,PA,,Philadelphia County,town,2962.16
2263,8622.0,88.0,4311.0,44.0,3626.0,,Reading Berks County,PA,,,other,8622.88
2264,3046.0,55.0,1523.0,28.0,2529.0,95.0,Reading Berks County,PA,,,other,3046.55
2265,1793.0,36.0,896.0,68.0,630.0,34.0,Philadelphia,PA,,Philadelphia County,town,1793.36
2266,851.0,18.0,425.0,59.0,252.0,76.0,Philadelphia,PA,Broker,Philadelphia County,town,851.18
2267,3374.0,,1687.0,,910.0,97.0,Philadelphia,PA,,Philadelphia County,town,
2268,17373.0,87.0,8686.0,94.0,5739.0,95.0,Philadelphia,PA,,Philadelphia County,town,17373.87
2269,1921.0,50.0,960.0,75.0,518.0,80.0,Philadelphia,PA,Merchants,Philadelphia County,town,1921.5
2270,376.0,30.0,188.0,15.0,182.0,46.0,,,,,other,376.3
2271,2135.0,63.0,1067.0,82.0,1661.0,86.0,,,,,other,2135.63
2272,397.0,52.0,198.0,76.0,118.0,32.0,Reading Pennsylvania,PA,,,state,397.52
2273,56.0,21.0,28.0,11.0,15.0,17.0,County of Philadelphia,PA,Sheriff,,other,56.21
2274,1463.0,95.0,731.0,97.0,395.0,25.0,Philadelphia,PA,,Philadelphia County,town,1463.95
2275,11958.0,37.0,5979.0,19.0,7242.0,51.0,,,Executive Estate of Thomas Satter deceased,,other,11958.37
2276,452.0,14.0,226.0,7.0,283.0,14.0,,,,,other,452.14
2277,9593.0,18.0,4796.0,59.0,3483.0,95.0,Philadelphia,PA,Merchant,Philadelphia County,town,9593.18
2278,332.0,90.0,166.0,45.0,89.0,87.0,Philadelphia,PA,Merchant,Philadelphia County,town,332.9
2279,238.0,46.0,119.0,24.0,121.0,37.0,,,,,other,238.46
2280,121.0,73.0,60.0,87.0,51.0,73.0,,,,,other,121.73
2281,12072.0,98.0,6036.0,49.0,3281.0,13.0,,,,,other,12072.98
2282,1297.0,91.0,648.0,95.0,470.0,61.0,,,,,other,1297.91
2283,169.0,33.0,84.0,66.0,45.0,71.0,,,,,other,169.33
2284,1978.0,59.0,989.0,29.0,1522.0,33.0,Philadelphia,PA,,Philadelphia County,town,1978.59
2285,3398.0,62.0,1699.0,31.0,2004.0,88.0,Philadelphia County,PA,Law,,other,3398.62
2286,1802.0,22.0,901.0,12.0,486.0,60.0,Reading Berks County,PA,,,other,1802.22
2287,153.0,99.0,76.0,69.0,92.0,26.0,Maidenhead,,,,other,153.99
2288,490.0,15.0,245.0,8.0,266.0,33.0,,,,,other,490.15
2289,591.0,64.0,295.0,82.0,159.0,73.0,Northumb Country,PA,,,other,591.64
2290,879.0,58.0,439.0,79.0,318.0,34.0,Philadelphia,PA,Merchant,Philadelphia County,town,879.58
2291,4090.0,92.0,2045.0,46.0,1097.0,16.0,Philadelphia,PA,Broker,Philadelphia County,town,4090.92
2292,5273.0,6.0,2636.0,52.0,1624.0,65.0,Philadelphia,PA,Merchant,Philadelphia County,town,5273.06
2293,853.0,11.0,426.0,55.0,665.0,41.0,Philadelphia,PA,Merchant,Philadelphia County,town,853.11
2294,124.0,61.0,62.0,30.0,1.0,,Philadelphia,PA,,Philadelphia County,town,124.61
2295,158.0,31.0,79.0,15.0,124.0,84.0,,,,,other,158.31
2296,785.0,91.0,392.0,96.0,282.0,68.0,Philadelphia,PA,,Philadelphia County,town,785.91
2297,914.0,97.0,457.0,48.0,247.0,3.0,Philadelphia,PA,,Philadelphia County,town,914.97
2298,426.0,44.0,213.0,22.0,167.0,13.0,Philadelphia,PA,,Philadelphia County,town,426.44
2299,266.0,66.0,133.0,34.0,72.0,,Philadelphia,PA,,Philadelphia County,town,266.66
2300,266.0,66.0,133.0,34.0,72.0,,Philadelphia,PA,,Philadelphia County,town,266.66
2301,327.0,93.0,163.0,96.0,1312.0,18.0,,,,,other,327.93
2302,844.0,67.0,422.0,33.0,228.0,5.0,,,,,other,844.67
2303,70.0,61.0,35.0,31.0,3459.0,62.0,Philadelphia,PA,Broker,Philadelphia County,town,70.61
2304,485.0,37.0,242.0,68.0,271.0,16.0,,,Administrator to the Estate of Isaac James Deceased,,other,485.37
2305,543.0,49.0,271.0,75.0,1459.0,71.0,Philadelphia County,PA,Law,,other,543.49
2306,653.0,77.0,326.0,88.0,331.0,39.0,Philadelphia,PA,,Philadelphia County,town,653.77
2307,1899.0,47.0,949.0,74.0,587.0,84.0,Philadelphia,PA,,Philadelphia County,town,1899.47
2308,272.0,23.0,136.0,11.0,73.0,50.0,,,,,other,272.23
2309,108.0,40.0,54.0,20.0,56.0,87.0,Philadelphia,PA,Conveyancer,Philadelphia County,town,108.4
2310,376.0,87.0,188.0,43.0,100.0,37.0,,,,,other,376.87
2311,108.0,35.0,54.0,17.0,58.0,50.0,,,,,other,108.35
2312,300.0,7.0,150.0,3.0,194.0,41.0,Philadelphia,PA,,Philadelphia County,town,300.07
2313,3061.0,57.0,1530.0,78.0,2277.0,81.0,Philadelphia,PA,Merchant,Philadelphia County,town,3061.57
2314,3489.0,78.0,1744.0,89.0,2414.0,78.0,Philadelphia,PA,Merchant,Philadelphia County,town,3489.78
2315,2880.0,16.0,1440.0,8.0,777.0,58.0,,,,,other,2880.16
2316,2069.0,4.0,1034.0,52.0,1316.0,18.0,Philadelphia,PA,Merchant,Philadelphia County,town,2069.04
2317,1776.0,12.0,888.0,6.0,1553.0,33.0,New York,NY,Broker,,state,1776.12
2318,13.0,51.0,6.0,76.0,,,Philadelphia,PA,Taylor,Philadelphia County,town,13.51
2319,406.0,66.0,203.0,34.0,439.0,20.0,,,,,other,406.66
2320,277.0,5.0,138.0,53.0,88.0,66.0,Philadelphia,PA,,Philadelphia County,town,277.05
2321,54.0,82.0,27.0,42.0,44.0,41.0,,,,,other,54.82
2322,2429.0,98.0,1214.0,99.0,211.0,25.0,,,,,other,2429.98
2323,24.0,10.0,12.0,6.0,6.0,50.0,,,,,other,24.1
2324,437.0,87.0,218.0,94.0,118.0,22.0,,,,,other,437.87
2325,509.0,97.0,254.0,98.0,298.0,53.0,New York,NY,,,state,509.97
2326,292.0,74.0,146.0,38.0,108.0,86.0,,,,,other,292.74
2327,,,,,187.0,71.0,,,,,other,
2328,40.0,18.0,20.0,9.0,28.0,50.0,,,,,other,40.18
2329,91.0,10.0,45.0,56.0,35.0,98.0,,,,,other,91.1
2330,1875.0,85.0,937.0,93.0,506.0,47.0,Philadelphia,PA,Silversmith,Philadelphia County,town,1875.85
2331,400.0,,200.0,,108.0,,Philadelphia,PA,,Philadelphia County,town,
2332,9634.0,49.0,4817.0,25.0,10281.0,72.0,,,,,other,9634.49
2333,4238.0,45.0,2119.0,22.0,3327.0,83.0,Philadelphia,PA,,Philadelphia County,town,4238.45
2334,422.0,49.0,211.0,74.0,448.0,35.0,Philadelphia,PA,Merchant,Philadelphia County,town,422.49
2335,113.0,69.0,56.0,84.0,60.0,68.0,,,,,other,113.69
2336,1129.0,84.0,564.0,92.0,305.0,5.0,Philadelphia,PA,Merchant,Philadelphia County,town,1129.84
2337,458.0,56.0,229.0,28.0,244.0,92.0,Philadelphia,PA,Broker,Philadelphia County,town,458.56
2338,634.0,2.0,317.0,2.0,265.0,3.0,Philadelphia,PA,,Philadelphia County,town,634.02
2339,1769.0,1.0,884.0,51.0,477.0,63.0,Northan Liberties,PA,Physician,,other,1769.01
2340,584.0,10.0,292.0,6.0,200.0,82.0,Philadelphia,PA,,Philadelphia County,town,584.1
2341,774.0,1.0,387.0,1.0,358.0,57.0,Philadelphia County,PA,,,other,774.01
2342,711.0,20.0,355.0,60.0,282.0,74.0,Philadelphia,PA,,Philadelphia County,town,711.2
2343,5110.0,30.0,2555.0,15.0,2648.0,97.0,Philadelphia,PA,Merchant,Philadelphia County,town,5110.3
2344,999.0,65.0,499.0,82.0,523.0,74.0,Philadelphia,PA,Merchant,Philadelphia County,town,999.65
2345,1902.0,53.0,951.0,89.0,2067.0,7.0,Philadelphia,PA,Merchant,Philadelphia County,town,1902.53
2346,3275.0,27.0,1637.0,64.0,3257.0,78.0,Philadelphia,PA,Merchants,Philadelphia County,town,3275.27
2347,19.0,,9.0,50.0,5.0,15.0,Philadelphia,PA,,Philadelphia County,town,
2348,533.0,33.0,266.0,67.0,144.0,,Philadelphia,PA,,Philadelphia County,town,533.33
2349,2829.0,80.0,1414.0,90.0,944.0,56.0,Philadelphia,PA,Merchant,Philadelphia County,town,2829.8
2350,14.0,56.0,7.0,28.0,,,,,,,other,14.56
2351,450.0,81.0,225.0,41.0,250.0,95.0,,,,,other,450.81
2352,440.0,1.0,220.0,1.0,237.0,62.0,,,,,other,440.01
2353,7825.0,78.0,3912.0,89.0,2698.0,91.0,,,Estate of Philip Boehm Deceased,,other,7825.78
2354,437.0,44.0,218.0,72.0,166.0,29.0,Philadelphia,PA,,Philadelphia County,town,437.44
2355,174.0,78.0,87.0,39.0,69.0,83.0,,,,,other,174.78
2356,1777.0,91.0,888.0,95.0,960.0,8.0,Philadelphia,PA,,Philadelphia County,town,1777.91
2357,1387.0,33.0,693.0,66.0,55.0,43.0,Philadelphia,PA,,Philadelphia County,town,1387.33
2358,68.0,44.0,34.0,28.0,1303.0,74.0,Philadelphia,PA,Merchant,Philadelphia County,town,68.44
2359,5550.0,14.0,2775.0,7.0,1764.0,30.0,Philadelphia,PA,Merchant,Philadelphia County,town,5550.14
2360,4817.0,31.0,2408.0,65.0,1300.0,66.0,,,,,other,4817.31
2361,91.0,66.0,45.0,84.0,45.0,78.0,,,,,other,91.66
2362,699.0,70.0,349.0,85.0,188.0,91.0,Philadelphia,PA,,Philadelphia County,town,699.7
2363,733.0,48.0,366.0,74.0,265.0,36.0,,,,,other,733.48
2364,4827.0,81.0,2413.0,91.0,1303.0,51.0,,,,,other,4827.81
2365,5526.0,11.0,2763.0,6.0,1492.0,4.0,,,,,other,5526.11
2366,3724.0,78.0,1862.0,39.0,1005.0,68.0,,,,,other,3724.78
2367,1832.0,16.0,916.0,8.0,2116.0,14.0,Philadelphia,PA,Merchant,Philadelphia County,town,1832.16
2368,4515.0,8.0,2257.0,73.0,1606.0,87.0,Philadelphia,PA,,Philadelphia County,town,4515.08
2369,9332.0,83.0,4666.0,41.0,2642.0,63.0,Philadelphia,PA,,Philadelphia County,town,9332.83
2370,294.0,7.0,147.0,3.0,111.0,60.0,Philadelphia,PA,,Philadelphia County,town,294.07
2371,811.0,81.0,405.0,91.0,823.0,1.0,,,,,other,811.81
2372,8.0,77.0,4.0,39.0,4.0,64.0,,,,,other,8.77
2373,1130.0,8.0,565.0,4.0,6877.0,61.0,Philadelphia,PA,,Philadelphia County,town,1130.08
2374,921.0,50.0,460.0,75.0,708.0,64.0,Philadelphia,PA,Merchant,Philadelphia County,town,921.5
2375,1173.0,9.0,586.0,54.0,692.0,97.0,,,,,other,1173.09
2376,1792.0,8.0,896.0,4.0,483.0,85.0,Philadelphia,PA,,Philadelphia County,town,1792.08
2377,108.0,6.0,54.0,3.0,45.0,96.0,,,,,other,108.06
2378,493.0,47.0,246.0,74.0,173.0,23.0,,,,,other,493.47
2379,54.0,16.0,27.0,8.0,27.0,91.0,,,,,other,54.16
2380,1279.0,97.0,639.0,98.0,1006.0,21.0,Philadelphia,PA,Merchant,Philadelphia County,town,1279.97
2381,982.0,42.0,491.0,21.0,691.0,49.0,Philadelphia,PA,Merchant,Philadelphia County,town,982.42
2382,2266.0,67.0,1133.0,33.0,879.0,,,,,,other,2266.67
2383,848.0,81.0,424.0,41.0,229.0,17.0,Northumb Country,PA,,,other,848.81
2384,1272.0,50.0,636.0,25.0,931.0,44.0,Philadelphia,PA,Merchant,Philadelphia County,town,1272.5
2385,521.0,79.0,260.0,89.0,258.0,70.0,Philadelphia,PA,,Philadelphia County,town,521.79
2386,2800.0,,1400.0,,756.0,,,,Executer for Estate for Samuel Smith Deceased,,other,
2387,8106.0,22.0,4053.0,11.0,2918.0,43.0,Philadelphia,PA,Merchants,Philadelphia County,town,8106.22
2388,3310.0,80.0,1655.0,40.0,893.0,90.0,Philadelphia,PA,Merchants,Philadelphia County,town,3310.8
2389,150.0,12.0,75.0,6.0,,,,,,,other,150.12
2390,40.0,15.0,20.0,8.0,10.0,84.0,,,,,other,40.15
2391,2030.0,,1015.0,1.0,736.0,72.0,Philadelphia,PA,Taylor,Philadelphia County,town,
2392,814.0,3.0,407.0,2.0,359.0,29.0,,,,,other,814.03
2393,14.0,91.0,7.0,46.0,12.0,36.0,,,,,other,14.91
2394,592.0,9.0,296.0,5.0,620.0,82.0,Philadelphia,PA,Broker,Philadelphia County,town,592.09
2395,37.0,75.0,18.0,88.0,19.0,61.0,,,,,other,37.75
2396,924.0,6.0,462.0,3.0,249.0,21.0,Philadelphia,PA,Merchant,Philadelphia County,town,924.06
2397,87.0,22.0,43.0,61.0,46.0,77.0,,,,,other,87.22
2398,768.0,65.0,384.0,33.0,327.0,90.0,,,,,other,768.65
2399,1610.0,61.0,805.0,31.0,822.0,27.0,,,,,other,1610.61
2400,149.0,30.0,74.0,65.0,68.0,26.0,,,,,other,149.3
2401,2909.0,68.0,1454.0,84.0,911.0,35.0,Philadelphia,PA,,Philadelphia County,town,2909.68
2402,582.0,77.0,291.0,39.0,243.0,7.0,,,,,other,582.77
2403,8.0,7.0,4.0,4.0,7.0,16.0,,,,,other,8.07
2404,2616.0,36.0,1308.0,18.0,1497.0,18.0,Philadelphia,PA,Merchant,Philadelphia County,town,2616.36
2405,331.0,16.0,165.0,58.0,634.0,11.0,Philadelphia,PA,,Philadelphia County,town,331.16
2406,195.0,94.0,97.0,98.0,96.0,51.0,Philadelphia,PA,,Philadelphia County,town,195.94
2407,337.0,77.0,168.0,89.0,200.0,5.0,,,,,other,337.77
2408,1111.0,58.0,555.0,79.0,360.0,12.0,Philadelphia,PA,Merchant,Philadelphia County,town,1111.58
2409,798.0,83.0,399.0,42.0,832.0,85.0,,,,,other,798.83
2410,181.0,50.0,90.0,75.0,4013.0,71.0,Philadelphia,PA,,Philadelphia County,town,181.5
2411,5714.0,18.0,,,,,,,,,other,5714.18
2412,257.0,69.0,128.0,84.0,159.0,12.0,,,,,other,257.69
2413,4954.0,57.0,2477.0,29.0,1337.0,73.0,Montgomery County,PA,,,other,4954.57
2414,860.0,,,,,,,,,,other,
2415,5148.0,9.0,2574.0,5.0,1389.0,50.0,,,,,other,5148.09
2416,3000.0,,1500.0,1.0,1028.0,68.0,Philadelphia,PA,Merchant,Philadelphia County,town,
2417,851.0,71.0,425.0,86.0,575.0,96.0,Philadelphia,PA,Merchant,Philadelphia County,town,851.71
2418,285.0,9.0,142.0,54.0,113.0,20.0,Philadelphia,PA,,Philadelphia County,town,285.09
2419,1308.0,23.0,654.0,11.0,936.0,,Philadelphia,PA,,Philadelphia County,town,1308.23
2420,17658.0,31.0,8829.0,15.0,8914.0,,Philadelphia,PA,,Philadelphia County,town,17658.31
2421,2000.0,,,,,,Philadelphia,PA,Merchant,Philadelphia County,town,
2422,21446.0,87.0,10723.0,44.0,13234.0,37.0,Philadelphia,PA,Merchant,Philadelphia County,town,21446.87
2423,7793.0,73.0,3896.0,87.0,2104.0,30.0,Philadelphia,PA,Merchant,Philadelphia County,town,7793.73
2424,149.0,98.0,75.0,,6.0,,North Carolina,NC,,,state,149.98
2425,1573.0,33.0,786.0,67.0,424.0,80.0,,,,,other,1573.33
2426,4311.0,17.0,2155.0,58.0,1182.0,60.0,,,,,other,4311.17
2427,3645.0,21.0,1822.0,61.0,1020.0,20.0,,,Estate William Butler,,other,3645.21
2428,1285.0,75.0,642.0,88.0,1187.0,28.0,,,,,other,1285.75
