,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,county,name_type,6p_total
104,1600.0,,800.0,,576.0,,Hebron,CT,,Tolland County,town,
105,666.0,66.0,333.0,34.0,240.0,,New Haven,CT,,New Haven County,town,666.66
106,1100.0,62.0,550.0,32.0,302.0,8.0,Groton,CT,,New London County,town,1100.62
107,1838.0,64.0,919.0,33.0,661.0,91.0,New London,CT,,New London County,town,1838.64
108,137.0,14.0,68.0,57.0,146.0,61.0,Hebron,CT,,Tolland County,town,137.14
109,266.0,66.0,133.0,34.0,84.0,,Farmington,CT,,Hartford County,town,266.66
110,27.0,45.0,13.0,73.0,,,Mansfield,CT,,Tolland County,town,27.45
111,572.0,58.0,286.0,29.0,526.0,63.0,Preston,CT,,New London County,town,572.58
112,323.0,87.0,161.0,93.0,120.0,67.0,Glastonbury,CT,,Hartford County,town,323.87
113,179.0,48.0,89.0,74.0,144.0,,Hartford,CT,,Hartford County,town,179.48
114,81.0,51.0,40.0,76.0,79.0,2.0,Wethersfield,CT,,Hartford County,town,81.51
115,8215.0,91.0,4107.0,95.0,6612.0,40.0,Saybrook,CT,,Middlesex County,town,8215.91
116,136.0,19.0,68.0,9.0,144.0,14.0,Bolton,CT,,Tolland County,town,136.19
117,10.0,39.0,5.0,20.0,10.0,87.0,Norwich,CT,,New London County,town,10.39
118,1447.0,26.0,723.0,64.0,1041.0,99.0,Preston,CT,Treasurer of Preston Society,New London County,town,1447.26
119,238.0,76.0,119.0,38.0,64.0,45.0,Bozrah,CT,,New London County,town,238.76
120,1573.0,33.0,786.0,67.0,1100.0,93.0,Derby,CT,,New Haven County,town,1573.33
121,2947.0,55.0,1473.0,77.0,1888.0,81.0,Derby,CT,,New Haven County,town,2947.55
122,279.0,53.0,139.0,76.0,226.0,23.0,Lebanon,CT,,New London County,town,279.53
123,738.0,43.0,369.0,22.0,708.0,13.0,State of New York,NY,,,state,738.43
