,Last Name,First Name,Position,State,County / Town,Vote,full name 1,name duplication,state-name duplication
644,Orth,Adam,,PA,,no,Adam Orth,False,False
645,Hanna,John Andre,,PA,,no,John Andre Hanna,False,False
646,Hancock,John,,MA,Boston,yes,John Hancock,False,False
647,Bowdoin,James,,MA,Boston,yes,James Bowdoin,True,True
648,Adams,Samuel,,MA,Boston,yes,Samuel Adams,False,False
649,Phillips,William,,MA,Boston,yes,William Phillips,False,False
650,Davis,Caleb,,MA,Boston,yes,Caleb Davis,False,False
651,Jarvis,Charles,,MA,Boston,yes,Charles Jarvis,False,False
652,Jones,John Coffin,,MA,Boston,yes,John Coffin Jones,False,False
653,Winthrop,John,,MA,Boston,yes,John Winthrop,False,False
654,Dawes,Thomas,,MA,Boston,yes,Thomas Dawes,False,False
655,Stillman,Samuel,,MA,Boston,yes,Samuel Stillman,False,False
656,Russel,Thomas,,MA,Boston,yes,Thomas Russel,False,False
657,Gore,Christopher,,MA,Boston,yes,Christopher Gore,False,False
658,Heath,William,,MA,Roxbury,yes,William Heath,False,False
659,Sumner,Increase,,MA,Roxbury,yes,Increase Sumner,False,False
660,Bowdoin,James,,MA,Dorchester,yes,James Bowdoin,True,True
661,Wales,Ebenezer,,MA,Dorchester,yes,Ebenezer Wales,False,False
662,Robbins,Nathaniel,,MA,Milton,yes,Nathaniel Robbins,False,False
663,Tufts,Cotton,,MA,Weymouth,yes,Cotton Tufts,False,False
664,Lincoln,Benjamin,,MA,Hingham,yes,Benjamin Lincoln,False,False
665,Shute,Daniel,,MA,Hingham,yes,Daniel Shute,False,False
666,Cranch,Richard,,MA,Braintree,yes,Richard Cranch,False,False
667,Wibird,Anthony,,MA,Braintree,yes,Anthony Wibird,False,False
668,Jackson,Joseph,,MA,Brookline,yes,Joseph Jackson,False,False
669,Thacher,Thomas,,MA,Dedham,yes,Thomas Thacher,False,False
670,Ames,Fisher,,MA,Dedham,yes,Fisher Ames,False,False
671,M'Intosh,William,,MA,Needham,yes,William M'Intosh,False,False
672,Baxter,John,,MA,Medfield,yes,John Baxter,False,False
673,Dunbar,Elijah,,MA,Stoughton,yes,Elijah Dunbar,False,False
674,Southworth,Jedediah,,MA,Stoughton,no,Jedediah Southworth,False,False
675,Man,Thomas,,MA,Wrentham,yes,Thomas Man,False,False
676,Comstock,Nathan,,MA,Wrentham,yes,Nathan Comstock,False,False
677,Payson,George,,MA,Walpole,yes,George Payson,False,False
678,Randall,Benjamin,,MA,Sharon,no,Benjamin Randall,False,False
679,Fisher,J.,,MA,Franklin,yes,J. Fisher,False,False
680,Richardson,M.,,MA,Medway,no,M. Richardson,False,False
681,Alden,Noah,,MA,Bellingham,no,Noah Alden,False,False
682,Payson,Phillips,,MA,Chelsea,yes,Phillips Payson,False,False
683,Warren,Ebenezer,,MA,Foxboro,yes,Ebenezer Warren,False,False
684,Jones,Thomas,,MA,Hull,yes,Thomas Jones,True,False
685,Manning,Richard,,MA,Salem,yes,Richard Manning,False,False
686,Pulling,Edward,,MA,Salem,yes,Edward Pulling,False,False
687,Gray Jun.,William,,MA,Salem,yes,William Gray Jun.,False,False
688,Cabot,Francis,,MA,Salem,yes,Francis Cabot,False,False
689,Hutchinson,Is.,,MA,Danvers,no,Is. Hutchinson,False,False
690,Dalton,Tristam,,MA,Newbury,yes,Tristam Dalton,False,False
691,Sawyer,Enos,,MA,Newbury,yes,Enos Sawyer,False,False
692,March,E.,,MA,Newbury,yes,E. March,False,False
693,King,Rufus,,MA,Newburyport,yes,Rufus King,False,False
694,Greenleaf,Benjamin,,MA,Newburyport,yes,Benjamin Greenleaf,False,False
695,Parsons,Theophilus,,MA,Newburyport,yes,Theophilus Parsons,False,False
696,Titcomb,Jonathan,,MA,Newburyport,yes,Jonathan Titcomb,False,False
697,Cabot,G.,,MA,Beverly,yes,G. Cabot,False,False
698,Wood,Joseph,,MA,Beverly,yes,Joseph Wood,True,True
699,Thorndike,Israel,,MA,Beverly,yes,Israel Thorndike,False,False
700,Farley,Michael,,MA,Ipswich,yes,Michael Farley,False,False
701,Choate,J.,,MA,Ipswich,yes,J. Choate,False,False
702,Noyes,Daniel,,MA,Ipswich,yes,Daniel Noyes,False,False
703,Cogswell,Jonathan,,MA,Ipswich,yes,Jonathan Cogswell,False,False
704,Mansfield,Isaac,,MA,Marblehead,yes,Isaac Mansfield,False,False
705,Glover,J.,,MA,Marblehead,yes,J. Glover,False,False
706,Orne,Azor,,MA,Marblehead,yes,Azor Orne,False,False
707,Glover,John,,MA,Marblehead,yes,John Glover,False,False
708,Rodgers,Daniel,,MA,Gloucester,yes,Daniel Rodgers,False,False
709,Low,John,,MA,Gloucester,yes,John Low,True,True
710,Pearson,W.,,MA,Gloucester,yes,W. Pearson,False,False
711,Carnes,J.,,MA,Lynn and Lynnfield,yes,J. Carnes,False,False
712,Burnham,John,,MA,Lynn and Lynnfield,yes,John Burnham,False,False
713,Osgood,Peter,,MA,Andover,no,Peter Osgood,False,False
714,Kittridge,Thomas,,MA,Andover,no,Thomas Kittridge,False,False
715,Symmes,William,,MA,Andover,yes,William Symmes,False,False
716,Mighill,Thomas,,MA,Rowley,no,Thomas Mighill,False,False
