,,,,,Dollars,Dollars,90th,90th
,,,,,sum,count,sum,count
John Lewis Gervias,John Lewis,Gervias,SC,no,1827.0,4,60,2
John Linton,John,Linton,SC,no,43.0,1,30,1
John Lloyd,John,Lloyd,SC,yes,4749.0,7,344.0,7
John Logan,John,Logan,VA,no,289.0,4,181.0,4
John Love,John,Love,MD,no,257.0,5,234.0,5
John Marshall,John,Marshall,VA,yes,1.0,1,22.0,1
John Matthews,John,Matthews,SC,yes,131.0,2,0,0
John McPherson,John,McPherson,SC,yes,360.0,1,0,0
John Miller,John,Miller,VA,no,4094.0,26,808.0,19
John Montgomery,John,Montgomery,SC,no,54.0,4,64.0,4
John Moore,John,Moore,NC,yes,684.0,14,513.0,12
John Neilson,John,Neilson,NJ,yes,87.0,6,8.0,1
John Nesbitt (Nisbet),John,Nesbitt (Nisbet),NC,yes,260.0,1,14.0,1
John Nevill,John,Nevill,PA,yes,793.0,3,30.0,1
John Palmer,John,Palmer,SC,yes,643.0,2,13,1
John Parker,John,Parker,SC,yes,136.0,3,128.0,3
John Phelps,John,Phelps,CT,yes,5.0,1,0,0
John Pratt,John,Pratt,MA,no,0.0,0,0,0
John Pride,John,Pride,VA,no,15.0,1,4,1
John Reynolds,John,Reynolds,PA,no,674.0,6,249.0,5
John Richards,John,Richards,PA,yes,11.0,2,38.0,2
John Schenck,John,Schenck,NY,yes,867.0,6,132.0,2
John Scott,John,Scott,NC,no,117.0,5,166.0,4
John Simmons,John,Simmons,SC,yes,7.0,1,33,1
John Skinner,John,Skinner,NC,yes,15.0,2,45,1
John Smith,John,Smith,NY,yes,6235.0,65,1909.0,53
John Sprague,John,Sprague,MA,yes,5.0,1,0,0
John Steele,John,Steele,VA,no,2998.0,10,233.0,7
John Stevens,John,Stevens,NJ,yes,3459.0,9,409.0,7
John Stewart,John,Stewart,MD,yes,2949.0,10,428.0,9
John Stokes,John,Stokes,NC,yes,50.0,1,0,0
John Swan,John,Swan,NC,yes,8.0,1,0,0
John Taylor,John,Taylor,MA,no,3104.0,16,500.0,12
John Taylor Gilman,John Taylor,Gilman,NH,yes,3068.0,15,478.0,11
John Thomas,John,Thomas,SC,yes,647.0,5,111.0,3
John Thompson,John,Thompson,NC,yes,1329.0,17,470.0,12
John Turner,John,Turner,MA,yes,449.0,3,80.0,2
"John Tyler, Sr.",John,"Tyler, Sr.",VA,no,332.0,4,67.0,2
John Wallace,John,Wallace,NC,yes,0.0,0,0,0
John Watson,John,Watson,CT,yes,679.0,4,105.0,3
John Welton,John,Welton,CT,yes,5.0,1,22,1
John Whitehill,John,Whitehill,PA,no,4.0,1,60.0,1
John Williams,John,Williams,VA,yes,1766.0,19,579.0,16
John Willis,John,Willis,NC,yes,264.0,2,60.0,1
John Wilson,John,Wilson,VA,no,635.0,10,166.0,4
John Winn,John,Winn,NY,no,255.0,1,84,1
John Wood,John,Wood,NY,no,613.0,5,152.0,4
Jonathan Dayton,Jonathan,Dayton,Constitution,yes,4551.0,6,150.0,4
Jonathan Freeman,Jonathan,Freeman,NH,yes,1632.0,2,0,0
Jonathan Roberts,Jonathan,Roberts,PA,yes,23.0,1,68.0,1
Jonathan Smith,Jonathan,Smith,MA,no,181.0,4,191.0,4
Joseph Barker,Joseph,Barker,DE,yes,126.0,9,361.0,9
Joseph Brown,Joseph,Brown,SC,no,628.0,9,346.0,8
Joseph Heister,Joseph,Heister,PA,no,59.0,1,4.0,1
Joseph Hopkins,Joseph,Hopkins,CT,yes,275.0,2,101,2
