,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
Joseph Brown,Joseph,Brown,SC,no,24800.0,32.0,1080.34166,32.0,628.0,9.0,346.0,8.0,,,,,4170.879999999999,27.0
Thomas Brown,Thomas,Brown,NC,no,74500.0,27.0,2840.8652300000003,27.0,1206.0,14.0,279.0,7.0,,,,,2905.98,51.0
Gustavus Richard Brown,Gustavus Richard,Brown,MD,yes,3200.0,5.0,207.12221999999997,5.0,228.0,4.0,90.0,2.0,,,,,169.63,4.0
David Brown,David,Brown,MA,no,,,,,468.0,4.0,102.0,3.0,,,,,862.13,14.0
John Brown,John,Brown,NC,no,35600.0,58.0,26084.57088,58.0,1204.0,13.0,379.0,10.0,262.0,1.0,0.0,0.0,9531.93,122.0
William Brown,William,Brown,NC,yes,,,,,,,,,,,,,,
Neill Brown,Neill,Brown,NC,yes,,,,,,,,,,,,,,
Jacob Brown,Jacob,Brown,SC,no,,,,,44.0,3.0,166.0,3.0,,,,,2562.08,12.0
Frederick Brown,Frederick,Brown,MA,no,,,,,,,,,,,,,,
Shear. Browne,Shear.,Browne,MA,yes,,,,,,,,,,,,,,
Benjamin Browne,Benjamin,Browne,MA,yes,16600.0,40.0,3937.206760000002,40.0,20.0,2.0,0,0.0,141.0,1.0,50.0,1.0,714.61,14.0
N. Brownson,N.,Brownson,GA,yes,,,,,,,,,,,,,,
Donald Bruce,Donald,Bruce,SC,yes,,,,,,,,,,,,,,
Hardy Bryan,Hardy,Bryan,NC,yes,,,,,,,,,,,,,,
John H. Bryan,John H.,Bryan,NC,yes,,,,,125.0,1.0,0,0.0,,,,,756.8699999999999,13.0
Andrew Buchanan,Andrew,Buchanan,VA,no,,,,,,,,,,,,,,
Gideon Buckingham,Gideon,Buckingham,CT,yes,300.0,1.0,123.4917,1.0,12.0,1.0,45.0,1.0,,,,,157.9,5.0
L. Buckminster,L.,Buckminster,MA,yes,,,,,,,,,,,,,,
John Budd,John,Budd,SC,yes,1800.0,5.0,517.49302,5.0,,,,,,,,,2112.7799999999997,2.0
Thomas Bull,Thomas,Bull,PA,yes,,,,,,,,,,,,,148.26,1.0
Jonathan Bullard,Jonathan,Bullard,MA,no,,,,,,,,,,,,,72.16,2.0
Cuthbert Bullitt,Cuthbert,Bullitt,VA,no,,,,,,,,,,,,,,
Zachariah Bulloch,Zachariah,Bulloch,SC,no,,,,,,,,,,,,,,
Rice Bullock,Rice,Bullock,VA,yes,,,,,,,,,,,,,,
John Burgess,John,Burgess,SC,no,300.0,1.0,23.683329999999998,1.0,,,,,,,,,797.4800000000002,18.0
Edanus Burke,Edanus,Burke,SC,no,,,,,,,,,,,,,,
John Burnham,John,Burnham,MA,yes,200.0,1.0,28.502779999999998,1.0,,,,,,,,,4368.17,10.0
Issac Burnham,Issac,Burnham,CT,yes,,,,,,,,,,,,,,
Thaddeus Burr,Thaddeus,Burr,CT,yes,5100.0,10.0,1472.6555099999998,10.0,,,,,,,,,,
Charles Burrall,Charles,Burrall,CT,yes,,,,,25.0,1.0,34.0,1.0,,,,,,
Nathaniel Burwell,Nathaniel,Burwell,VA,yes,,,,,,,,,,,,,3500.0,5.0
William Butler,William,Butler,SC,no,1100.0,2.0,94.05,2.0,10622.0,1.0,0,0.0,,,,,6692.360000000001,20.0
Pierce Butler,Pierce,Butler,Constitution,yes,,,,,,,,,,,,,,
Stephen Cabarrus,Stephen,Cabarrus,NC,yes,,,,,,,,,,,,,,
William Cabell,William,Cabell,VA,no,,,,,8.0,1.0,0,0.0,,,,,,
Samuel Jordan Cabell,Samuel Jordan,Cabell,VA,no,,,,,,,,,,,,,,
Francis Cabot,Francis,Cabot,MA,yes,300.0,1.0,135.1042,1.0,,,,,,,,,,
G. Cabot,G.,Cabot,MA,yes,,,,,,,,,,,,,,
John Cade,John,Cade,NC,yes,,,,,,,,,,,,,,
Richard D. Caldwell,Richard D.,Caldwell,NC,no,,,,,,,,,,,,,,
David Caldwell,David,Caldwell,NC,yes,19600.0,29.0,16521.087629999995,29.0,5.0,2.0,85.0,2.0,,,,,,
John Calfe,John,Calfe,NH,yes,400.0,2.0,42.28889000000001,2.0,,,,,,,,,,
Joseph Calhoun,Joseph,Calhoun,SC,no,,,,,,,,,,,,,,
William Overton Callis,William Overton,Callis,VA,yes,,,,,,,,,,,,,,
Moses Campbell,Moses,Campbell,CT,yes,,,,,,,,,,,,,,
Thomas Campbell,Thomas,Campbell,PA,yes,500.0,1.0,40.23611,1.0,,,,,,,,,3566.6500000000005,14.0
John A. Campbell,John A.,Campbell,NC,no,23300.0,43.0,2137.01101,43.0,797.0,8.0,131.0,4.0,,,,,5672.87,33.0
James Campbell,James,Campbell,PA,did not vote,12200.0,7.0,544.4028500000001,7.0,56.0,5.0,193.0,4.0,,,,,5611.870000000002,34.0
