,town,state,county,name_type
1975,Roxbury,MA,Suffolk County,town
1977,Keene,NH,Cheshire County,town
1980,Rye,NH,Rockingham County,town
1986,Almsbury,MA,Essex County,town
1997,Lancaster,PA,,other
2004,Philadelphia County,PA,,other
2006,Bucks County Pennsylvania,PA,,state
2010,Carlisle Pennsylvania,PA,,state
2015,Germantown,PA,,other
2033,Franklin County,PA,,other
2035,Conecticutt,CT,,state
2036,New Castle Delaware,DE,New Castle County,county
2042,Reading,PA,,other
2055,Bethlehem,PA,,other
2067,New Jersey,NJ,,state
2079,,PA,,state
2087,Barbadoes,,,other
2089,Sta Croix,,,other
2094,Westmoreland,PA,,other
2097,Blockley,PA,,other
2100,Alexandria Virginia,VA,Fairfax County,town
2103,Montgomery,PA,,other
2104,W Callisters Town,PA,,other
2105,Huntington New Jersey,NJ,Hunterdon County,town
2110,Cumberland,PA,,town
2119,Delaware,DE,,state
2127,State of Delawere,DE,,state
2134,Cambridge Massachusetts,MA,Middlesex County,town
2147,Massachusetts,MA,,state
2172,Reading Pennsylvania,PA,,state
2173,Tulpehocken,PA,,other
2176,,VA,,state
2189,Chester County,PA,Chester County,county
2206,Connecticutt,CT,,state
2211,Armstrong,PA,,other
2230,Bucks County,PA,,other
2263,Reading Berks County,PA,,other
2273,County of Philadelphia,PA,,other
2287,Maidenhead,,,other
2289,Northumb Country,PA,,other
2339,Northan Liberties,PA,,other
2413,Montgomery County,PA,,other
2433,Delaware Newcastle County,DE,New Castle County,county
2446,Chester County Pennsylvania,PA,Chester County,county
2447,York Town Pennsylvania,PA,,state
2474,Lancaster Pennsylvania,PA,,state
2479,Dauphin County Pennsylvania,PA,,state
2481,Allegheny County Pennsylvania,PA,,state
2487,Louden County Virginia,VA,Loudoun County,county
2497,Borden Town,PA,,other
2500,Chester Co Pennsylvania,PA,Chester County,county
2502,The N Lib of Philadelphia,PA,,other
2504,Pennsylvania Berks County,PA,,state
2506,Pennsylvania Montgomery County,PA,,state
2509,Pennsylvania Franklin County,PA,,state
2524,Pittsburgh Pennsylvania,PA,,state
2526,Lancaster County Pennsylvania,PA,,state
2531,Brunswick New Jersey,NJ,Middlesex County,town
2535,St Eustalia,PA,,other
2537,Berks County Pennsylvania,PA,,state
2564,Fayette County Pennsylvania,PA,,state
2572,Delaware County Pennsylvania,DE,,state
2579,Passyunk,PA,,other
2593,Northampton County Pennsylvania,PA,,state
2595,Chester County Pennsylvaina,PA,Chester County,county
2599,Northern Liberties,PA,,other
2606,Northum County Pennsylvania,PA,,state
2613,Fredericksburg Virginia,VA,Spotsylvania County,town
2617,Chambersburgh Pennsylvania,PA,,state
2619,Fredrick Co Maryland,MD,Frederick County,county
2629,Frankford Philadelphia County,PA,,other
2635,Ohio County Virginia,VA,Ohio County,county
2640,Dauphincoy Pennsylvania,PA,,state
2645,York County Pennsylvania,PA,,state
2648,Cape May New Jersey,NJ,Cape May County,town
2650,Cumb County Pennsylvania,PA,Cumberland County,state
2669,Delaware State,DE,,state
2679,Trenton New Jersey,NJ,Hunterdon County,town
2695,New Brunswick New Jersey,NJ,Middlesex County,town
2696,Mount Holley New Jersey,NJ,Burlington County,town
2708,Kensington,PA,,other
2716,Dauphin County,PA,,other
2721,Chester,PA,Chester County,county
2722,Burlington New Jersey,NJ,,state
2724,Allegheny County,PA,,other
2779,Chester and County,PA,Chester County,county
2802,German Town,PA,,other
2822,Westmoreland County,PA,,other
2832,Middlesex New Jersey,NJ,Middlesex County,town
2837,Dauphin and Company,PA,,other
2849,The Northern Libert,PA,,other
2857,Lancaster County,PA,,other
2858,Kent Company Delaware,DE,Kent County,county
2868,Northumberland County,PA,,other
2875,Hatter Philadelphia,PA,,other
2906,Accomack County Virginia,VA,Accomack County,county
2910,Princeton New Jersey,NJ,Middlesex County,town
2924,Albany,NY,Albany County,town
2931,Northampton County,PA,,other
2938,King George Co Virginia,VA,King George County,county
2954,Southwark,PA,,other
2956,Westmoreland County Pennsylvania,PA,,state
2986,Franklin County Pennsylvania,PA,,state
2991,Wilmington Delaware,DE,New Castle County,county
2992,Montgomery County Pennsylvania,PA,,state
3005,Berlington New Jersey,NJ,Burlington County,town
3015,Northumberland County Pennsylvania,PA,,state
3020,Sunbury Pennsylvania,PA,,state
3028,Church on Philadelphia,PA,,other
3037,James City County Virginia,VA,James City County,county
3041,Pittsburgh,PA,,other
3056,Newark,NJ,Essex County,town
3058,Monmouth County New Jersey,NJ,Monmouth County,county
