,First Name,Last Name,Search Town,Search County,Search State,Name,"Home in 1790 (City, County, State)",index_new,valid
1532,Nicholas,Cooke,,,RI,Nicholas Cook,"Providence, Providence, Rhode Island",2618,1
1671,Eliezer,Harding,,,RI,Eleazar Harding,"Providence, Providence, Rhode Island",2809,1
1693,Benjamin,Baurn,,,RI,Benjamin Bourne,"Providence, Providence, Rhode Island",2840,1
1705,Robert,Crooke,,,RI,Robert Crook,"Newport, Newport, Rhode Island",2852,1
1716,Theodosius,Fowler,,,NY,Theodorius Fowler,"New York City East Ward, New York, New York",2875,1
1722,William,Wheaten,,,RI,William Wheaton,"Providence, Providence, Rhode Island",2883,1
1762,David,Durfee,,,RI,David Durffee,"Tiverton, Newport, Rhode Island",2952,1
1764,Samuel,White,,,RI,Samuel Wyatt,"Middletown, Newport, Rhode Island",2958,1
1769,Jeremiah,Eddy,,,RI,Jeremiah Edey,"Providence, Providence, Rhode Island",2966,1
1771,John P,Dexter,,,RI,John Dexter,"Cumberland, Providence, Rhode Island",2970,1
1772,John S,Dexter,,,RI,John Dexter,"Cumberland, Providence, Rhode Island",2970,1
1777,Thomas,Noyes,,,RI,Thomas Noyce,"Westerly, Washington, Rhode Island",2982,1
1778,Matthew,Manchester,,,RI,Mathew Manchester,"Providence, Providence, Rhode Island",2983,1
1780,Henry,Sherburne,,,RI,Henry Sherbourne,"Newport, Newport, Rhode Island",2984,1
1782,Asa,Francklin,,,RI,Asa Franklin | Ara Franklin,"Providence, Providence, Rhode Island",2986,1
1785,Hopestill,Mcneal,,,RI,Hopestill Mac Neil,"Providence, Providence, Rhode Island",2996,1
1799,Philip N,Brown,,,RI,Phillip Brown,"Newport, Newport, Rhode Island",3020,1
1830,Samuel,Wilcox,,,NY,Lemuel Wilcox | Samuel Wilson,"Balls Town, Albany, New York",3081,1
1866,Elizabeth Jane,Ravenel,,,SC,Elizabeth Ravenelle | Elizabeth Ravenell,"St Phillips and St Michaels, Charleston, South Carolina",3139,1
1885,Hugh,Irvin,,,SC,Hugh Ervine,"Prince Fredericks, Georgetown, South Carolina",3186,1
1895,Robert,Miles,,,SC,Robt Miles,"St Pauls, Charleston, South Carolina",3215,1
1897,Ann,Milner,,,SC,G Milner | John Miller,"St Phillips and St Michaels, Charleston, South Carolina",3217,1
255,Ammi R,Robbins,,,NY,Jerimiah Roblens | Joumiah Robbens,"Warrinton, York, Pennsylvania",391,0
498,Samuel,Bowerman,,,CT,Samuel Borman,"New Bedford, Bristol, Massachusetts",781,0
524,Edward,Trescot,,,GA,Edward Trescott,"St Phillips and St Michaels, Charleston, South Carolina",817,0
525,Edward,Trescot,,,PA,Edward Trescott,"St Phillips and St Michaels, Charleston, South Carolina",817,0
527,Joseph,Clay,,,GA,Joseph Clay,"Lee, Strafford, New Hampshire",818,0
533,Jeremiah,Dickenson,,,GA,Jeremiah Dickenson,"St Phillips and St Michaels, Charleston, South Carolina",832,0
535,George,Heriot,,,GA,George Heriot | George Hurd,"Prince Georges, Georgetown, South Carolina",833,0
579,Charles,Chields,,,MD,Charles Childs,"Pomfret, Windham, Connecticut",921,0
580,Charles,Shields,,,MD,Charles Shields,"Fannet, Hamilton, Letterkenney, Montgomery, and Peters, Franklin, Pennsylvania",922,0
654,Daniel Carroll Brant,Virginia,,,VA,Danl Virgin,"Concord, Rockingham, New Hampshire",1039,0
655,Daniel Carroll,Brent,,,VA,Darius Branch | Daniel Brant,"Castleton, Rutland, Vermont",1040,0
663,William,Carlin,,,VA,William Carlon| CASLON,"North Millford, Cecil, Maryland",1050,0
671,Nicholas,Low,,,MD,Nicholas (Mate) Low | Nicholas Low,"Southwark, Philadelphia, Pennsylvania",1065,0
672,Nicholas,Low,,,NY,Nicholas (Mate) Low | Nicholas Low,"Southwark, Philadelphia, Pennsylvania",1065,0
741,Richard,Caton,,,MD,Richd Keaton,"Wardsborough, Windham, Vermont",1179,0
755,Thomas,Dick,,,MD,Thomas Dick,"Chester, Delaware, Pennsylvania",1215,0
761,George,Wedge,,,MD,George Wage,"Waldoborough, Lincoln, Maine",1222,0
766,William,Whetcroft,,,MD,William Whitcraft,"Londongrove, Chester, Pennsylvania",1236,0
785,Francis,Bussier,,,NC,Francis Bressac | Francis Bussar,"Livingston, Columbia, New York",1280,0
951,Joseph,Borden,,,NJ,Joseph Borden,"Manallen, Fayette, Pennsylvania",1560,0
987,Mariamne,Williams,,,PA,Maryan Williner | Maryan Williams,"Unknown Township, St Marys, Maryland",1607,0
1008,Edward,Chinn,,,PA,Edward Chinn | Edward Chune,"Claverack, Columbia, New York",1644,0
1014,William,Broades,,,PA,William Broad | William Brook,"New York City South Ward, New York, New York",1657,0
1015,Edward,Denny,,,PA,Edward Denny,"Pawling, Dutchess, New York",1660,0
1016,Sarah,Perkins,,,PA,Sarah Perkins | Sarah Warhim,"Kittery, York, Maine",1661,0
1061,Hezekiah B,Pierpont,,,PA,Hezekiah Peirpoint,"North Haven, New Haven, Connecticut",1729,0
1076,Hannah,Dean,,,PA,Hannah Dean,"Taunton, Bristol, Massachusetts",1760,0
1078,William,Wetmore,,,PA,William Wetman | William Wetmore,"New Cornwall, Orange, New York",1769,0
1141,James,Strawbridge,,,PA,James Strowbridge,"Claremont, Cheshire, New Hampshire",1914,0
1169,Derrick De,Mott,,,NJ,Anthony D Mite | Anthony D Mitt,"Catskill, Albany, New York",1981,0
1180,Adam,Hope,,,NC,Adam Hoop| Adam Shoop | Adam Hope,"Mount Pleasant, Westmoreland, Pennsylvania",2001,0
1183,John,Oconor,,,PA,John O'Connor | John Oconnor,"St Phillips and St Michaels, Charleston, South Carolina",2006,0
1195,Tobias,Lear,,,PA,Tobias Lear,"Portsmouth, Rockingham, New Hampshire",2037,0
1199,Richard,Dowler,,,MD,Richard Dowler,"West Caln, Chester, Pennsylvania",2043,0
1204,George,Browning,,,NJ,George (Bl. Smith) Brining | George Burring,"Water Street East Side, Philadelphia, Pennsylvania",2052,0
1238,Allen,Mcclane,,,DE,Allen (Gl Man) McLane | Allen McLane,"Water Street East Side, Philadelphia, Pennsylvania",2109,0
1239,Allen,Mclane,,,DE,Allen (Gl Man) McLane | Allen McLane,"Water Street East Side, Philadelphia, Pennsylvania",2109,0
1240,Allen,Mclean,,,DE,Allen McLean | Allen McTarn,"Windsor, Hartford, Connecticut",2110,0
