,town,state,new_town,county,new_state,country,name_type
293,Maidenhead,,,,,GB,country
294,Northumb Country,PA,,Northumberland Country,PA,US,county
295,Northan Liberties,PA,Philadelphia,Philadelphia County,PA,US,town
296,Philadelphia,,Philadelphia,Philadelphia County,PA,US,town
297,Montgomery County,PA,,Montgomery County,PA,US,county
298,Delaware Newcastle County,DE,,New Castle County,DE,US,county
299,Chester County Pennsylvania,PA,,Chester County,PA,US,county
300,York Town Pennsylvania,PA,York Township,York County,PA,US,town
301,Lancaster Pennsylvania,PA,Lancaster,Lancaster County,PA,US,town
302,Dauphin County Pennsylvania,PA,,Dauphin County,PA,US,county
303,Allegheny County Pennsylvania,PA,,Allegheny County,PA,US,county
304,Louden County Virginia,VA,,Loudoun County,VA,US,county
305,Borden Town,PA,Philadelphia,Philadelphia County,PA,US,town
306,Chester Co Pennsylvania,PA,,Chester County,PA,US,county
307,The N Lib of Philadelphia,PA,Philadelphia,Philadelphia County,PA,US,town
308,Pennsylvania Berks County,PA,,Berks County,PA,US,county
309,Pennsylvania Montgomery County,PA,,Montgomery County,PA,US,county
310,Pennsylvania Franklin County,PA,,Franklin County,PA,US,county
311,Charleston South Carolina,PA,Charleston,Charleston County,SC,US,town
312,Pittsburgh Pennsylvania,PA,Pittsburgh,Allegheny County,PA,US,town
313,Lancaster County Pennsylvania,PA,,Lancaster County,PA,US,county
314,Brunswick New Jersey,NJ,New Brunswick,Middlesex County,NJ,US,town
315,St Eustatia,PA,,,,NL,country
316,Berks County Pennsylvania,PA,,Berks County,PA,US,county
317,Berks County,PA,,Berks County,PA,US,county
318,Fayette County Pennsylvania,PA,,Fayette County,PA,US,county
319,Delaware County Pennsylvania,PA,,Delaware County,PA,US,county
320,Passyunk,PA,Philadelphia,Philadelphia County,PA,US,town
321,Northampton County Pennsylvania,PA,,Northampton County,PA,US,county
322,Chester County Pennsylvaina,PA,,Chester County,PA,US,county
323,Northern Liberties,PA,Philadelphia,Philadelphia County,PA,US,town
324,Northum County Pennsylvania,PA,,Northumberland County,PA,US,county
325,Fredericksburg Virginia,VA,Fredericksburg,Spotsylvania County,VA,US,town
326,Chambersburgh Pennsylvania,PA,Chambersburg,Franklin County,PA,US,town
327,Fredrick Co Maryland,MD,,Frederick County,MD,US,county
328,Frankford Philadelphia County,PA,Philadelphia,Philadelphia County,PA,US,town
329,Ohio County Virginia,VA,,Ohio County,VA,US,county
330,Dauphincoy Pennsylvania,PA,Dauphin,Dauphin County,PA,US,town
331,York County Pennsylvania,PA,,York County,PA,US,county
332,Cape May New Jersey,NJ,Cape May,Cape May County,NJ,US,town
333,Cumb County Pennsylvania,PA,,Cumberland County,PA,US,county
334,Delaware State,DE,,,DE,US,state
335,Trenton New Jersey,NJ,Trenton,Hunterdon County,NJ,US,town
336,New Brunswick New Jersey,NJ,New Brunswick,Middlesex County,NJ,US,town
337,Mount Holley New Jersey,NJ,Mount Holly,Burlington County,NJ,US,town
338,Kensington,PA,New Kensington,Westmoreland County,PA,US,town
339,Dauphin County,PA,,Dauphin County,PA,US,county
340,Chester,PA,,Chester County,PA,US,county
341,Burlington New Jersey,PA,Burlington,Burlington County,NJ,US,town
342,Allegheny County,PA,,Allegheny County,PA,US,county
343,Chester and County,PA,,Chester County,PA,US,county
344,German Town,PA,Philadelphia,Philadelphia County,PA,US,town
345,Westmoreland County,PA,,Westmoreland County,PA,US,county
346,Middlesex New Jersey,NJ,Middlesex,Middlesex County,NJ,US,town
347,Dauphin and Company,PA,Dauphin,Dauphin County,PA,US,town
348,The Northern Libert,PA,Philadelphia,Philadelphia County,PA,US,town
349,Lancaster County,PA,,Lancaster County,PA,US,county
350,Kent Company Delaware,DE,,Kent County,DE,US,county
351,Northumberland County,PA,,Northumberland County,PA,US,county
352,Hatter Philadelphia,PA,Philadelphia,Philadelphia County,PA,US,town
353,Accomack County Virginia,VA,Accomac,Accomack County,VA,US,town
354,Princeton New Jersey,NJ,Princeton,Middlesex County,NJ,US,town
355,Albany,NY,Albany,Albany County,NY,US,town
356,Northampton County,PA,,Northampton County,PA,US,county
357,King George Co Virginia,VA,King George,King George County,VA,US,town
358,Southwark,PA,Philadelphia,Philadelphia County,PA,US,town
