,Search Names,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,url,origin
19,"['Ann  Willing', 'Wm Bingham', 'William Willink']",Wm Bingham,"['Jan Willink', 'Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']","['G. Woman', 'Esquire']",3,1,76493.0,38247.0,20902.0,"Water Street East Side, Philadelphia, Pennsylvania",15,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Bingham&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
20,"['Ann  Willing', 'Wm Bingham', 'William Willink']",William Willink,"['Jan Willink', 'Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']","['G. Woman', 'Esquire']",3,1,76493.0,38247.0,20902.0,Pennsylvania,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Willink&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
167,"['Thos Willing', 'John Swanwick', 'Robert Morris']",John Swanwick,"['Thomas Willing', 'William Morris and Swanwick', 'Willing Morris and Swanwick']","['Merchants', 'Merchant', 'Esquire']",3,9,56290.0,28443.0,22266.0, Philadelphia,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Swanwick&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
168,"['Thos Willing', 'John Swanwick', 'Robert Morris']",Robert Morris,"['Thomas Willing', 'William Morris and Swanwick', 'Willing Morris and Swanwick']","['Merchants', 'Merchant', 'Esquire']",3,9,56290.0,28443.0,22266.0, Philadelphia,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Morris&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
27,"['William W Morris', 'John Delafield']",William W Morris,"['William W Morris', 'John Delafield']",,2,1,33075.0,15419.0,1662.0,,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William W_Morris&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
34,"['Uriah Forrest', 'Benjn Stoddert']",Benjn Stoddert,['Uriah Forrest and Benjamin Stoddert'],['Merchants'],2,2,29980.0,15039.0,51716.0,"Montgomery, Maryland",9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin_Stoddert&name_x=1_1&residence=_cecil-maryland-usa_537&residence_x=1-0_1-1,Aggregated CD debt files
49,"['Charles Wallace', 'John Muir']",John Muir,"['Charles Wallace', 'John Muir']",[],2,18,28789.0,11311.0,18930.0,"Annapolis, Anne Arundel, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Muir&name_x=ps_ps&residence=_annapolis-anne+arundel-maryland-usa_6128&residence_x=1-0_1-1,Aggregated CD debt files
14,"['Andrew Clow', 'James Brown', 'Hugh Patton']",James Brown,"['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']",['Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'],3,1,14661.0,7330.0,4610.0,Pennsylvania,,,No Match,Too Many Potential Matches Found (26),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Brown&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
15,"['Andrew Clow', 'James Brown', 'Hugh Patton']",Hugh Patton,"['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']",['Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'],3,1,14661.0,7330.0,4610.0,"Washington, Pennsylvania",9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hugh_Patton&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
233,"['Thos Willing', 'Thomas Mwilling']",Thomas Mwilling,"['Thomas Willing', 'Thomas Mwilling', 'Thomas M Willing', 'Thomas McWilling']",['Esquire'],2,1,9415.0,4707.0,2705.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Mwilling&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
13,"['John Atkenson', 'Francis Atkinson']",Francis Atkinson,['John and Francis Atkinson'],,2,17,9169.0,4637.0,25777.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
19,"['Jacob Reed', 'Jabcob Reed']",Jacob Reed,"['Jacob Reed', 'Jabcob Reed']",,2,1,8751.0,4426.0,2371.0,,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
112,"['Joseph Nightingale', 'Innis Clarke']",Innis Clarke,['Clark and Nightingale'],['Merchant'],2,7,7732.0,4126.0,5837.0,"Providence, Providence, Rhode Island",13,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph+Innes_Clark&name_x=s_s&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-0,Aggregated CD debt files
205,"['Mordica & Co.  Lewis', 'Morecai Lewis']",Morecai Lewis,"['Mordecai Lewis', 'Mordeai Lewis', 'Morecai Lewis']","['Merchant', 'Mert']",2,1,6007.0,3052.0,1656.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Morecai_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
98,"['Jennet Grier', 'James Riddle', 'Henry Miller']",Jennet Grier,"['Jennet Grier James Riddle and Co', 'Jennet Grier James Riddle and Henry Miller']",['Executers of David Grierlate Y Town'],3,1,5694.0,2847.0,3598.0,"York, York, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jennet_Grier&name_x=ps_ps&residence=_york-york-pennsylvania-usa_15985&residence_x=1-0_1-1,Aggregated CD debt files
99,"['Jennet Grier', 'James Riddle', 'Henry Miller']",James Riddle,"['Jennet Grier James Riddle and Co', 'Jennet Grier James Riddle and Henry Miller']",['Executers of David Grierlate Y Town'],3,1,5694.0,2847.0,3598.0,"York, York, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Riddle&name_x=ps_ps&residence=_york-york-pennsylvania-usa_15985&residence_x=1-0_1-1,Aggregated CD debt files
48,"['Charles Stewart', 'James MacColloch']",James MacColloch,['Charles Stuart and James McCulloch'],[],2,1,5463.0,2731.0,4638.0,"Anne Arundel, Maryland",27,15.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Mcculloch&name_x=s_s&residence=_anne+arundel-maryland-usa_169&residence_x=1-0_1-0,Aggregated CD debt files
8,"['Moses Ogden', 'Charles Ogden']",Moses Ogden,['Moses and Charles Ogden'],,2,2,5423.0,2711.0,5741.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Moses_Ogden&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
190,"['Samuel Wyatt', 'Lemuel Wyatt']",Samuel Wyatt,"['Samuel Wyatt', 'Lemuel Wyatt']",['Merchant'],2,1,5247.0,2673.0,1502.0, Bristol,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Wyatt&name_x=s_s&residence=_rehoboth-bristol-massachusetts-usa_4346&residence_x=1-0_1-1,Aggregated CD debt files
125,"['Richd Potter', 'James  Potter']",James  Potter,['Richard and James Potter'],"['Merchant', 'Carpr']",2,5,5144.0,2672.0,3049.0,"Philadelphia City, Philadelphia, Pennsylvania",7,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Potter&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-0,Aggregated CD debt files
81,"['John Grover', 'Elizh Grover']",Elizh Grover,['Elizabeth and John Grover'],['Ex to the Estate Christopher Grover'],2,1,4736.0,2369.0,1977.0,"Montgomery, Pennsylvania",5,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elizabeth_Grover&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
207,"['Moses Brown', 'Nicholas Brown']",Nicholas Brown,"['Moses Brown', 'Nicholas Brown']",[],3,1,4710.0,1828.0,2168.0,Rhode Island,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Brown&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
29,"['John N Bleeker', 'John N Bleecher']",John N Bleecher,"['John N Bleecher', 'John N Blecker']",,2,1,4310.0,2159.0,2315.0,,,,No Match,Too Many Potential Matches Found (7),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John N_Bleecher&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
2,"['Abraham Wilt', 'Abraham Witt']",Abraham Witt,"['Abraham Wilt', 'Abraham Witt']",['Merchant'],2,2,4203.0,2151.0,1497.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham_Witt&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
193,"['Makeus Bement', 'Makens Bement']",Makeus Bement,"['Makeus Bement', 'Makens Bement']",['Sadler'],2,1,3598.0,1799.0,1351.0,"East Hartford, Hartford, Connecticut",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Makeus_Bement&name_x=ps_ps&residence=_east+hartford-hartford-connecticut-usa_405&residence_x=1-0_1-1,Aggregated CD debt files
66,"['David Lewis', 'Isaac  Wharton']",David Lewis,"['Wharton and Lewis', 'Isaac Wharton']","['Merchant', 'Gent.']",2,2,3395.0,1747.0,2074.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
204,"['Mordica & Co.  Lewis', 'Mordeai Lewis']",Mordeai Lewis,"['Mordecai Lewis', 'Mordeai Lewis']","['Merchant', 'Mert']",2,1,3185.0,1642.0,1228.0, Philadelphia,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mordeai_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
245,"['William Mchvaine', 'William Mcilvaine']",William Mchvaine,"['William McHvaine', 'William McIlvaine']",[],2,1,3148.0,1574.0,1333.0,Pennsylvania,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Mchvaine&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
59,"['Daniel  Hartung', 'Daniel Karteing']",Daniel Karteing,"['Daniel Karteing', 'Daniel Hartung']","['Furrier', 'Furrier']",2,1,3125.0,1612.0,1551.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Karteing&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
113,"['Isaac Craige', 'Isaac Craig']",Isaac Craige,"['Isaac Craige', 'Isaac Craig']",[],2,3,3090.0,1643.0,1674.0,Pennsylvania,,,No Match,Too Many Potential Matches Found (2),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Craige&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
117,"['Jacob Frank', 'Jacob Franks']",Jacob Franks,"['Jacob Franks', 'Jacob Frank']",[],2,1,3007.0,1553.0,800.0,Pennsylvania,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Franks&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
57,"['Colonel Colo John Gunby', 'John Gunley']",John Gunley,"['John Gunley', 'John Gunby']",[],2,1,2950.0,1475.0,1958.0,"Worcester, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Gunley&name_x=ps_ps&residence=_worcester-maryland-usa_3199&residence_x=1-0_1-0,Aggregated CD debt files
5,"['Adam Gilchrist From Sa Caro', 'Adam Gilcrist']",Adam Gilchrist From Sa Caro,"['Adam Gilchrist from Sa Caro', 'Adam Gilchrist']",['Merchant'],2,1,2927.0,1513.0,2664.0, Pennsylvania,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Adam+Gilchrist+From+Sa_Caro&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
155,"['Thomas Dick', 'John Laird']",Thomas Dick,"['John Laird And Thomas Dick', 'John Laird']",['Executor of Robert Dick'],2,2,2841.0,0.0,4000.0,Maryland,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Dick&name_x=ps_ps&residence=_maryland-usa_23&residence_x=1-0_1-0,Aggregated CD debt files
130,"['James Davenport', 'John Davenport']",John Davenport,['John and James Davenport'],[],2,5,2757.0,1527.0,1796.0, Fairfield,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Davenport&name_x=1_1&residence=_stamford-fairfield-connecticut-usa_83&residence_x=1-0_1-0,Aggregated CD debt files
6,"['Adam Hubley', 'Adam Hunley']",Adam Hunley,"['Adam Hubley', 'Adam Hunley']",[],2,1,2750.0,1375.0,792.0,Pennsylvania,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Adam_Hunley&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
178,"['Thomas Folwell', 'Joseph Hart']",Thomas Folwell,"['Thomas Folwell and Joseph Hart Executor of John Hart deceased', 'Thomas Folwell and Jo Hart', 'Thomas Folwell and Joseph Hart']",['Executor to Estate of John Hart deceased'],2,1,2743.0,1372.0,1297.0,Pennsylvania,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Folwell&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
119,"['Jacob Laverswyler', 'Jacob Lawer Swyler']",Jacob Lawer Swyler,"['Jacob Lawerswyler', 'Jacob Lawer Swyler', 'Jacob Sawer Swyler']",['Sugar Baker'],2,1,2699.0,1350.0,798.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob+Lawer_Swyler&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
217,"['Richard Tindall', 'Richard Pindell']",Richard Tindall,"['Richard Tindall', 'Richard Pindall', 'Richard Pindell']",[],2,1,2448.0,1224.0,1664.0,"Washington, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Tindall&name_x=ps_ps&residence=_washington-maryland-usa_3061&residence_x=1-0_1-0,Aggregated CD debt files
218,"['Robert Coltman', 'Robert Collman']",Robert Collman,"['Robert Coltman', 'Robert Collman', 'Robert Cottman']",[],2,1,2437.0,1268.0,698.0,"Montgomery, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Collman&name_x=ps_ps&residence=_montgomery-pennsylvania-usa_2087&residence_x=1-0_1-0,Aggregated CD debt files
142,"['James Serle', 'James Scarle']",James Scarle,"['James Searle', 'James Scarle']",[],2,1,2333.0,1166.0,879.0,Pennsylvania,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Scarle&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
21,"['James Atkinson', 'John Atkenson']",James Atkinson,"['James Atkinson', 'John Atkinson', 'John and Francis Atkinson']",,2,1,2200.0,1101.0,2249.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
210,"['Nathaniel Wheater', 'Nathaniel Wheaton']",Nathaniel Wheater,"['Nathaniel Wheaton', 'Nathaniel Wheater']",['Merchant'],2,1,2189.0,1144.0,678.0,"Providence, Providence, Rhode Island",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathaniel_Wheater&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
192,"['Luke Morris 7', 'Luke Morris']",Luke Morris 7,"['Luke Morris', 'Luke Morris 7']",[],2,2,2118.0,1110.0,1415.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Luke+Morris_7&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
83,"['Enos Hitchcock', 'Enos Hitchock']",Enos Hitchock,"['Enos Hitchcock', 'Enos Hitchock', 'Enos Hitchcoch']",['Reverend'],2,1,2109.0,1054.0,1186.0,"Providence, Providence, Rhode Island",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Enos_Hitchock&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
198,"['William Handy', 'Mehetable Handy']",William Handy,"['Warrant for transferring into the books of this office Vizt', 'Warrant for transfering into the books of this office Vizt', 'Dr William Handy in trust for his Niece Mehetable Handy Transferred from the Books at New York']",[],2,2,2084.0,197.0,307.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Handy&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
230,"['Theodorius Fowler', 'Theodosius Fowler In Co']",Theodosius Fowler In Co,"['Theodosius Fowler in Co', 'Theodosius Fowler and Co']",['Merchants'],2,1,1955.0,1026.0,537.0,New York,,,No Match,Too Many Potential Matches Found (9),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theodosius+Fowler+In_Co&name_x=ps_ps&residence=_new+york-usa_35&residence_x=1-0_1-0,Aggregated CD debt files
91,"['Gasaway Watkins', 'William Marbury']",William Marbury,"['Gassaway Watkins', 'Gassway Watkins', 'William Marbury']",[],2,1,1915.0,65.0,61.0,"Annapolis, Anne Arundel, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Marbury&name_x=ps_ps&residence=_annapolis-anne+arundel-maryland-usa_6128&residence_x=1-0_1-1,Aggregated CD debt files
69,"['Phillip Brown', 'Dr William Handy']",Dr William Handy,"['Phillip Browne', 'Phillip Brown', 'Philip Brown', 'Dr William Handy in trust for his Nephew William Handy Transferred from the Books at New York', 'Philip N Brown Transferred from the Office in Providence', 'Philip N Brown transferred from the office in Pensylvania']",[],2,1,1873.0,147.0,338.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Dr+William_Handy&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
131,"['James Frland', 'James Mcfarlane']",James Mcfarlane,"['James Mc Farlane', 'James McFarlane']",[],2,1,1830.0,915.0,547.0,"Westmoreland, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Mcfarlane&name_x=ps_ps&residence=_westmoreland-pennsylvania-usa_3123&residence_x=1-0_1-0,Aggregated CD debt files
203,"['Mordica & Co.  Lewis', 'Mordceai Lewis']",Mordceai Lewis,"['Mordecai Lewis', 'Mordeai Lewis', 'Mordceai Lewis']","['Merchant', 'Mert']",2,1,1783.0,942.0,513.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mordceai_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
211,"['Peter Pare', 'Peter Pores']",Peter Pores,"['Peter Peres', 'Peter Pores']",['Physician'],2,1,1770.0,935.0,540.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Pores&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
214,"['Remond Byrne', 'Redmond  Byrns']",Remond Byrne,"['Redmond Byrne', 'Remond Byrne']","['Merchant', 'Grocer']",2,1,1751.0,925.0,924.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Remond_Byrne&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
13,"['Andr Summers', 'andrew Summeres']",andrew Summeres,"['Andrew Summers', 'Andrew Summeres']",['Broker'],2,1,1727.0,913.0,1330.0, Philadelphia,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=andrew_Summeres&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
23,"['Arnoldus Vanderhorst', 'Henry Laurens']",Henry Laurens,"['Henry Laurens and Arnoldus Vanderhorst', 'Henry Laurens']",['Executor of John Paul Grimke'],2,1,1643.0,821.0,1880.0,South Carolina,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Laurens&name_x=ps_ps&residence=_south+carolina-usa_43&residence_x=1-0_1-0,Aggregated CD debt files
82,"['Enoch Edwards', 'Enoch Enoch']",Enoch Enoch,"['Enoch Edwards', 'Enoch Edward']",[],2,1,1642.0,870.0,994.0,"Byberry, Philadelphia, Pennsylvania",11,3.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Enoch_Edward&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
44,"['Thomas  Mitflin', 'David Lenox', 'Lawce Kuhns', 'Charles Smith', 'Colonel Coln Francis  Johnston']",David Lenox,"['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']","['Executer to Lawrence Keane Deceased', 'Governor of the State', 'Colonel', 'Receiver Gen. of Land Office']",5,1,1618.0,809.0,521.0,"Water Street East Side, Philadelphia, Pennsylvania",6,1.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Lenax&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
45,"['Thomas  Mitflin', 'David Lenox', 'Lawce Kuhns', 'Charles Smith', 'Colonel Coln Francis  Johnston']",Lawce Kuhns,"['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']","['Executer to Lawrence Keane Deceased', 'Governor of the State', 'Colonel', 'Receiver Gen. of Land Office']",5,1,1618.0,809.0,521.0,"Branswick and Manheim, Berks, Pennsylvania",3,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lawrence_Keene&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
46,"['Thomas  Mitflin', 'David Lenox', 'Lawce Kuhns', 'Charles Smith', 'Colonel Coln Francis  Johnston']",Charles Smith,"['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']","['Executer to Lawrence Keane Deceased', 'Governor of the State', 'Colonel', 'Receiver Gen. of Land Office']",5,1,1618.0,809.0,521.0,Pennsylvania,,,No Match,Too Many Potential Matches Found (8),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Smith&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
47,"['Thomas  Mitflin', 'David Lenox', 'Lawce Kuhns', 'Charles Smith', 'Colonel Coln Francis  Johnston']",Colonel Coln Francis  Johnston,"['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']","['Executer to Lawrence Keane Deceased', 'Governor of the State', 'Colonel', 'Receiver Gen. of Land Office']",5,1,1618.0,809.0,521.0,"Water Street East Side, Philadelphia, Pennsylvania",8,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Johnston&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
162,"['John Miler', 'John Miller']",John Miller,"['John Miler', 'John Miller']",[],2,2,1600.0,800.0,108.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,Too Many Potential Matches Found (17),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Miller&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
