,Search Names,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,url,origin
55,"['John Eddy', 'Christopher Smith']",Christopher Smith,"['John Eddy Transferred from the Register of the Treasury', 'Abram Belknap transferred from the Register of the Treasury', 'Christopher Hill transferred from Register', 'No 11749 in fovar Christopher Smith from Register of the Treasury', 'John Eddy transfer from Register', 'Christopher Smith No 11750']",[],2,1,99.0,33.0,66.0,"Scituate, Providence, Rhode Island",6,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Christopher_Smith&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
202,"['Michael Norman', 'Michal Newman']",Michael Norman,"['Michael Newman', 'Michael Norman']",[],2,1,98.0,49.0,60.0,"York, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Norman&name_x=ps_ps&residence=_york-pennsylvania-usa_3231&residence_x=1-0_1-0,Aggregated CD debt files
93,"['George Westcott', 'George Wescott']",George Wescott,"['George Westcott', 'George Wescott']",['Merchant'],2,1,97.0,98.0,0.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Wescott&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
25,"['James Hill', 'John De la Mater']",James Hill,"['James Hill', 'John De la Mater']",,2,1,92.0,47.0,1000.0,,,,No Match,Too Many Potential Matches Found (5),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Hill&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
120,"['Jacob Schmyser', 'Michael Schmyser']",Jacob Schmyser,"['Jacob Schmyser', 'Michael Schmyser']",[],2,1,91.0,45.0,34.0,"York, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Schmyser&name_x=ps_ps&residence=_york-pennsylvania-usa_3231&residence_x=1-0_1-0,Aggregated CD debt files
63,"['Daniel Edey', 'Moses Eddy']",Moses Eddy,"['Daniel Eddy', 'Moses Eddy']",['Trader'],2,1,89.0,44.0,70.0,"Providence, Providence, Rhode Island",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Moses_Eddy&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
166,"['Sarah Ward', 'John Rogers']",Sarah Ward,"['Henry Sherburne transfer from the register of the treasury', 'Christopher Hill transferred from the Register of the Treasury', 'Sarah Ward Transferred from the Register', 'John Rogers']",[],2,1,88.0,41.0,0.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Sarah_Ward&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
75,"['John Eddy', 'Elisha Aldrich']",Elisha Aldrich,"['John Eddy Transferred from the Register of the Treasury', 'Abram Belknap transferred from the Register of the Treasury', 'Christopher Hill transferred from Register', 'Elisha Aldrich Transferred from the Register', 'John Warner transferred from the Register of the Treasury', 'William Wheaten Transferred from the Register of the Treasury of Warrents No 10100']",[],2,1,87.0,99.0,0.0,"Glocester, Providence, Rhode Island",9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elisha_Aldrich&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
43,"['Charles Sampson', 'Samuel Sampson']",Samuel Sampson,['Samuel and Charles Sampson'],[],2,1,85.0,42.0,90.0,"Providence, Providence, Rhode Island",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Sampson&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
124,"['Peter Vanderveer', 'Jacobus Van Eis']",Jacobus Van Eis,"['Peter Vanderveer in trust for Jacobus Van Eis', 'Peter Vanderveer']",['In trust for Jacobus Van Eis of Somerset County New Jersey'],2,1,83.0,41.0,65.0,"Somerset, New Jersey",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacobus+Van_Eis&name_x=ps_ps&residence=_somerset-new+jersey-usa_2731&residence_x=1-0_1-0,Aggregated CD debt files
180,"['Nicholas Banney', 'Joseph Innes Clark', 'Joseph Nightingale', 'Nathaniel Barney']",Nicholas Banney,"['Nicholas Banney transfer from register', 'Nathaniel Barney transfer from Register', 'Clark and Nightingale', 'Clark and Nightingale transferred to treasury']",[],4,1,80.0,40.0,218.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Banney&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
181,"['Nicholas Banney', 'Joseph Innes Clark', 'Joseph Nightingale', 'Nathaniel Barney']",Joseph Innes Clark,"['Nicholas Banney transfer from register', 'Nathaniel Barney transfer from Register', 'Clark and Nightingale', 'Clark and Nightingale transferred to treasury']",[],4,1,80.0,40.0,218.0,Rhode Island,,,No Match,Too Many Potential Matches Found (6),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph+Innes_Clark&name_x=s_s&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
182,"['Nicholas Banney', 'Joseph Innes Clark', 'Joseph Nightingale', 'Nathaniel Barney']",Nathaniel Barney,"['Nicholas Banney transfer from register', 'Nathaniel Barney transfer from Register', 'Clark and Nightingale', 'Clark and Nightingale transferred to treasury']",[],4,1,80.0,40.0,218.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathaniel_Barney&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
196,"['Mary Johnson', 'Mary Johnston']",Mary Johnston,"['Mary Johnson transfer from Register', 'Mary Johnston Transfer from Register', 'Mary Johnston transfer from register']",[],2,1,79.0,39.0,57.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary_Johnston&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
25,"['Asa Sterns', 'Asa Stephens']",Asa Stephens,"['Asa Stevens', 'Asa Stephens']",[],2,1,78.0,39.0,30.0, Rutland,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Asa_Stephens&name_x=1_1&residence=_Vermont-usa_48&residence_x=1-0_1-0,Aggregated CD debt files
149,"['John Porter', 'John Dodd']",John Dodd,['John Dodd and John Porter'],['Executor to William Nichols Deceased'],2,1,74.0,37.0,68.0,Connecticut,,,No Match,Too Many Potential Matches Found (2),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Dodd&name_x=1_1&residence=_Connecticut-usa_9&residence_x=1-0_1-0,Aggregated CD debt files
78,"['William Wheaton', 'Elisha Aldrich', 'John Warner']",Elisha Aldrich,"['William Wheater', 'William Wheaten', 'Elisha Aldrich Transferred from the Register', 'John Warner transferred from the Register of the Treasury', 'William Wheaten Transferred from the Register of the Treasury of Warrents No 10100', 'John Warner']",[],3,1,74.0,100.0,53.0,"Glocester, Providence, Rhode Island",9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elisha_Aldrich&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
79,"['William Wheaton', 'Elisha Aldrich', 'John Warner']",John Warner,"['William Wheater', 'William Wheaten', 'Elisha Aldrich Transferred from the Register', 'John Warner transferred from the Register of the Treasury', 'William Wheaten Transferred from the Register of the Treasury of Warrents No 10100', 'John Warner']",[],3,1,74.0,100.0,53.0,Rhode Island,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Warner&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
24,"['Asa Gillet', 'Israel Gillet']",Israel Gillet,"['Israel Gilbert', 'Isaac Gillet', 'Israel Gillet']",['Farmer'],2,1,71.0,86.0,69.0,"Hartford, Windsor, Vermont",10,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Israel_Gillet&name_x=1_1&residence=_Vermont-usa_48&residence_x=1-0_1-0,Aggregated CD debt files
71,"['Eliphalet Gaylord', 'Eliakim Gaylord']",Eliphalet Gaylord,"['Eliakim Gaylord', 'Eliphalet Gaylord']",['Farmer'],2,1,68.0,34.0,111.0,"Windsor, Hartford, Connecticut",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Eliphalet_Gaylord&name_x=ps_ps&residence=_windsor-hartford-connecticut-usa_3163&residence_x=1-0_1-1,Aggregated CD debt files
3,"['John Eddy', 'Christopher Hill', 'Abram Belknap']",Christopher Hill,"['John Eddy Transferred from the Register of the Treasury', 'Abram Belknap transferred from the Register of the Treasury', 'Christopher Hill transferred from Register', 'the president and Co of bank of providence from the books in Massachusetts', 'Christopher Hill Transferred from the Register', 'Matthew Watson transferred from the office in Connecticut']",[],3,1,67.0,46.0,92.0,"Providence, Providence, Rhode Island",5,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Christopher_Hill&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
4,"['John Eddy', 'Christopher Hill', 'Abram Belknap']",Abram Belknap,"['John Eddy Transferred from the Register of the Treasury', 'Abram Belknap transferred from the Register of the Treasury', 'Christopher Hill transferred from Register', 'the president and Co of bank of providence from the books in Massachusetts', 'Christopher Hill Transferred from the Register', 'Matthew Watson transferred from the office in Connecticut']",[],3,1,67.0,46.0,92.0,"Johnstown, Providence, Rhode Island",12,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abram_Belknap&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
29,"['Benjamin Bowen', 'Benjamin brown']",Benjamin brown,"['Benjamin Bowen', 'Benjamin Brown transfer from treasury', 'Benjamin Brown Transferred from Treasury']",[],2,1,66.0,82.0,97.0,Rhode Island,,,No Match,Too Many Potential Matches Found (5),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin_brown&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
175,"['Joseph A Richards', 'Matthew Watson', 'William Wheater']",Joseph A Richards,"['Henry Sherburne Transferred from the Register of the Treasury', 'Joseph A Richards transfer from Register', 'Samuel Vernon transfer from register', 'Matthew Watson', 'William Wheater', 'William Wheaten']",[],3,1,63.0,87.0,144.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph+A_Richards&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
176,"['Joseph A Richards', 'Matthew Watson', 'William Wheater']",William Wheater,"['Henry Sherburne Transferred from the Register of the Treasury', 'Joseph A Richards transfer from Register', 'Samuel Vernon transfer from register', 'Matthew Watson', 'William Wheater', 'William Wheaten']",[],3,1,63.0,87.0,144.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Wheater&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
244,"['William Waterman', 'William Johnston']",William Waterman,"['William Waterman', 'William Waterman Cranstone', 'William Waterman Johnson', 'William Waterman Johnston']",['Yeoman'],2,1,63.0,80.0,94.0, Providence,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Waterman&name_x=1_1&residence=_johnston-providence-rhode+island-usa_5521&residence_x=1-0_1-1,Aggregated CD debt files
70,"['Elioner Walker', 'Eleanor Watkins']",Eleanor Watkins,"['Eleanor Watkins', 'Eleanor Walker']",[],2,1,59.0,80.0,79.0,Maryland,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Eleanor_Watkins&name_x=ps_ps&residence=_maryland-usa_23&residence_x=1-0_1-0,Aggregated CD debt files
164,"['John Rondall', 'John Randel']",John Rondall,"['John Rondall', 'John Randall']",[],2,1,58.0,30.0,68.0,Maryland,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Rondall&name_x=ps_ps&residence=_maryland-usa_23&residence_x=1-0_1-0,Aggregated CD debt files
169,"['John Thompson', 'John Thomson']",John Thomson,"['John Thompson', 'John Thomson']",[],2,1,52.0,47.0,132.0, Philadelphia,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Thomson&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
85,"['Ephraim Wheater', 'Ephraim Wheaton']",Ephraim Wheater,"['Ephraim Wheaten', 'Ephraim Wheater']",['Deacon'],2,1,51.0,25.0,44.0,"Providence, Providence, Rhode Island",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ephraim_Wheater&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
94,"['George Yeast', 'George Yost']",George Yeast,"['George Yeast', 'George Yoast']",[],2,1,49.0,24.0,32.0,"Frederick, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Yeast&name_x=ps_ps&residence=_frederick-maryland-usa_1081&residence_x=1-0_1-0,Aggregated CD debt files
236,"['Thomas Wadsworth', 'William Turpin']",Thomas Wadsworth,['Wadsworth and Turpin'],['Charleston Merchants'],2,1,47.0,73.0,0.0,"Charleston, Charleston, South Carolina",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Wadsworth&name_x=ps_ps&residence=_charleston-charleston-south+carolina-usa_21847&residence_x=1-0_1-1,Aggregated CD debt files
212,"['Philip Rodenpeler', 'Philip Rodenpillar']",Philip Rodenpillar,"['Philip Rodenpiller', 'Philip Rodenpillar']",[],2,1,41.0,70.0,125.0,"Frederick, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Rodenpillar&name_x=ps_ps&residence=_frederick-maryland-usa_1081&residence_x=1-0_1-0,Aggregated CD debt files
152,"['John Humpheys', 'John Humphreys']",John Humpheys,"['John Humpheys', 'John Humphrey']",[],2,1,35.0,17.0,9.0,"Derby, New Haven, Connecticut",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Humpheys&name_x=ps_ps&residence=_derby-new+haven-connecticut-usa_3332&residence_x=1-0_1-1,Aggregated CD debt files
107,"['Hugh Ervine', 'John Irvin']",John Irvin,['John and Hugh Irvin'],['Executor of Hugh Irvin'],2,1,29.0,64.0,84.0,"St Phillips and St Michaels, Charleston, South Carolina",5,3.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Irvin&name_x=1_1&residence=_South Carolina-usa_43&residence_x=1-0_1-0,Aggregated CD debt files
36,"['Robert Bawick', 'Robert Berwick']",Robert Bawick,"['Robert Bawick', 'Robert Barwick']",,2,1,29.0,65.0,16.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Bawick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
121,"['Jacob Starr', 'Jared Starr', 'Jonathan Starr']",Jacob Starr,"['Jon and Jacob Starr', 'Jonathan and Jared Starr']",['Merchents'],3,1,27.0,63.0,0.0,"New London, New London, Connecticut",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Starr&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=1-0_1-1,Aggregated CD debt files
122,"['Jacob Starr', 'Jared Starr', 'Jonathan Starr']",Jonathan Starr,"['Jon and Jacob Starr', 'Jonathan and Jared Starr']",['Merchents'],3,1,27.0,63.0,0.0, Connecticut,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Starr&name_x=1_1&residence=_new+london-new+london-connecticut-usa_3381&residence_x=1-0_1-1,Aggregated CD debt files
