,Delegates,Loan Matches,Scores,state
219,William Stevens,William Smith Stevens,95.0,SC
2182,William Thompson,William Thompson,100.0,CT
4575,William Thompson,William Thompson,100.0,NY
2725,William Thompson,William Thompson,100.0,VA
1478,William Thornton,William Thornton,100.0,VA
2049,William Washington,William Washington,100.0,SC
1668,William White,William White,100.0,PA
1534,William White,William White,100.0,VA
274,William Williams,Frederick William Starman,85.5,NC
654,William Williams,Jonathan and Mariamne Williams,85.5,PA
517,William Williams,Jonathan and William Simpson,85.5,SC
323,William Williams,Nathan and Frederick Williams,85.5,RI
574,William Williams,The Estate of General Otto H Williams nan,85.5,MD
998,William Williams,William Constable and Co,85.5,NY
573,William Williams,William Count Van  Hoogendorp,85.5,MD
655,William Williams,William Montgomery Sterrett,85.5,PA
529,William Williams,William Williams,100.0,CT
653,William Williams,William Williams,100.0,PA
572,William Williams,William Wilsm and Co nan,85.5,MD
999,William Williams,William and James Constable,85.5,NY
2126,William Wilson,William Wilson,100.0,MD
2341,William Wilson,William Wilson,100.0,VA
7504,Williams John,John  Williams ,95.0,NY
3481,Williams John,John Williams,95.0,CT
4217,Williams John,John Williams,95.0,MD
7071,Williams John,John Williams,95.0,NY
3482,Williams John,William St John,92.85714285714286,CT
7072,Williams John,William St John,92.85714285714286,NY
1096,Wilson Cary Nicolas,Wilson Cary,90.0,VA
